,nrel_id,cooling,longitude,fuel,latitude,dischargefile
0,1305,1,-84.575,2,36.975,639_1068.tsv
1,1306,1,-84.225,2,37.875,657_1075.tsv
2,1307,2,-91.225,5,30.425,508_935.tsv
3,1308,2,-93.275,5,30.325,506_894.tsv
4,1308,2,-93.275,2,30.325,506_894.tsv
5,1309,1,-91.125,5,30.225,504_937.tsv
6,1310,4,-92.175,3,30.825,516_916.tsv
7,1312,1,-90.525,5,30.025,500_949.tsv
8,1313,5,-90.125,3,29.925,498_957.tsv
9,1313,1,-90.125,5,29.925,498_957.tsv
10,1314,5,-92.075,3,32.775,555_918.tsv
11,1317,5,-93.775,3,32.525,550_884.tsv
12,1317,1,-93.775,5,32.525,550_884.tsv
13,1319,2,-90.625,5,29.575,491_947.tsv
14,1320,2,-92.025,5,30.225,504_919.tsv
15,1322,2,-91.225,5,29.725,494_935.tsv
16,1324,2,-91.325,5,30.675,513_933.tsv
17,1327,1,-76.225,2,39.275,685_1235.tsv
18,1328,1,-76.425,5,39.175,683_1231.tsv
19,1329,2,-76.375,2,39.075,681_1232.tsv
20,1329,1,-76.375,5,39.075,681_1232.tsv
21,1329,1,-76.375,2,39.075,681_1232.tsv
22,1332,1,-76.375,5,39.125,682_1232.tsv
23,1334,1,-75.825,5,38.425,668_1243.tsv
24,1336,1,-76.625,2,38.475,669_1227.tsv
25,1336,2,-76.625,5,38.475,669_1227.tsv
26,1337,1,-77.475,2,39.225,684_1210.tsv
27,1338,1,-76.975,2,38.325,666_1220.tsv
28,1339,6,-71.075,3,42.375,747_1338.tsv
29,1339,1,-71.075,5,42.375,747_1338.tsv
30,1342,5,-71.125,3,42.375,747_1337.tsv
31,1348,1,-72.625,5,42.075,741_1307.tsv
32,1349,5,-70.925,3,42.225,744_1341.tsv
33,1350,5,-71.075,3,41.875,737_1338.tsv
34,1350,1,-71.075,5,41.875,737_1338.tsv
35,1352,1,-83.825,2,43.675,773_1083.tsv
36,1352,2,-83.825,5,43.675,773_1083.tsv
37,1354,1,-83.875,2,43.625,772_1082.tsv
38,1360,1,-83.125,2,42.225,744_1097.tsv
39,1360,1,-83.125,5,42.225,744_1097.tsv
40,1361,1,-82.475,2,42.725,754_1110.tsv
41,1362,1,-83.125,2,42.075,741_1097.tsv
42,1363,2,-87.425,2,46.575,831_1011.tsv
43,1365,1,-86.225,2,43.075,761_1035.tsv
44,1367,1,-84.625,2,42.775,755_1067.tsv
45,1368,2,-84.625,2,42.675,753_1067.tsv
46,1370,2,-87.425,2,46.475,829_1011.tsv
47,1371,1,-83.125,2,42.175,743_1097.tsv
48,1371,1,-83.125,5,42.175,743_1097.tsv
49,1374,2,-93.625,2,47.275,845_887.tsv
50,1375,4,-93.225,3,44.825,796_895.tsv
51,1376,4,-93.125,3,44.925,798_897.tsv
52,1377,1,-92.775,2,45.025,800_904.tsv
53,1378,2,-95.975,5,36.025,620_840.tsv
54,1380,2,-92.475,5,44.025,780_910.tsv
55,1382,2,-88.725,5,32.275,545_985.tsv
56,1383,1,-89.025,5,30.425,508_979.tsv
57,1383,2,-89.025,2,30.425,508_979.tsv
58,1383,2,-89.025,5,30.425,508_979.tsv
59,1383,1,-89.025,2,30.425,508_979.tsv
60,1384,2,-90.975,5,32.275,545_940.tsv
61,1386,2,-90.175,5,32.275,545_956.tsv
62,1387,5,-89.325,3,31.525,530_973.tsv
63,1387,2,-89.325,5,31.525,530_973.tsv
64,1388,2,-94.575,2,37.375,647_868.tsv
65,1389,1,-94.475,2,39.125,682_870.tsv
66,1389,4,-94.475,3,39.125,682_870.tsv
