,nrel_id,cooling,longitude,fuel,latitude,dischargefile
6,1310,4,-92.175,3,30.825,516_916.tsv
50,1375,4,-93.225,3,44.825,796_895.tsv
51,1376,4,-93.125,3,44.925,798_897.tsv
66,1389,4,-94.475,3,39.125,682_870.tsv
113,1481,4,-80.375,3,35.725,614_1152.tsv
115,1483,4,-79.675,3,36.475,629_1166.tsv
158,1559,4,-71.375,3,41.825,736_1332.tsv
161,1567,4,-81.925,3,33.425,568_1121.tsv
171,1577,4,-82.975,3,36.375,627_1100.tsv
208,1653,4,-77.375,3,37.375,647_1212.tsv
210,1655,4,-77.275,3,38.475,669_1214.tsv
611,2340,4,-81.825,3,26.675,433_1123.tsv
634,2368,4,-84.225,3,30.125,502_1075.tsv
644,2384,4,-89.525,3,37.675,653_969.tsv
666,2421,4,-87.225,2,38.775,675_1015.tsv
680,2435,4,-93.275,3,45.025,800_894.tsv
863,75016,4,-76.075,3,41.225,724_1238.tsv
989,76842,4,-122.325,3,40.525,710_313.tsv
1068,78220,4,-97.125,3,28.875,477_817.tsv
