,nrel_id,cooling,longitude,fuel,latitude,dischargefile
2,1307,2,-91.225,5,30.425,508_935.tsv
3,1308,2,-93.275,5,30.325,506_894.tsv
5,1309,1,-91.125,5,30.225,504_937.tsv
7,1312,1,-90.525,5,30.025,500_949.tsv
9,1313,1,-90.125,5,29.925,498_957.tsv
12,1317,1,-93.775,5,32.525,550_884.tsv
13,1319,2,-90.625,5,29.575,491_947.tsv
14,1320,2,-92.025,5,30.225,504_919.tsv
15,1322,2,-91.225,5,29.725,494_935.tsv
16,1324,2,-91.325,5,30.675,513_933.tsv
18,1328,1,-76.425,5,39.175,683_1231.tsv
20,1329,1,-76.375,5,39.075,681_1232.tsv
22,1332,1,-76.375,5,39.125,682_1232.tsv
23,1334,1,-75.825,5,38.425,668_1243.tsv
25,1336,2,-76.625,5,38.475,669_1227.tsv
29,1339,1,-71.075,5,42.375,747_1338.tsv
31,1348,1,-72.625,5,42.075,741_1307.tsv
34,1350,1,-71.075,5,41.875,737_1338.tsv
36,1352,2,-83.825,5,43.675,773_1083.tsv
39,1360,1,-83.125,5,42.225,744_1097.tsv
48,1371,1,-83.125,5,42.175,743_1097.tsv
53,1378,2,-95.975,5,36.025,620_840.tsv
54,1380,2,-92.475,5,44.025,780_910.tsv
55,1382,2,-88.725,5,32.275,545_985.tsv
56,1383,1,-89.025,5,30.425,508_979.tsv
58,1383,2,-89.025,5,30.425,508_979.tsv
60,1384,2,-90.975,5,32.275,545_940.tsv
61,1386,2,-90.175,5,32.275,545_956.tsv
63,1387,2,-89.325,5,31.525,530_973.tsv
70,1393,2,-94.925,5,39.725,694_861.tsv
78,1405,1,-99.675,5,40.675,713_766.tsv
85,1414,2,-119.125,5,39.125,682_377.tsv
86,1415,2,-119.525,5,39.575,691_369.tsv
92,1419,2,-74.625,5,39.275,685_1267.tsv
98,1437,2,-106.575,5,31.825,536_628.tsv
99,1439,2,-103.325,5,32.725,554_693.tsv
100,1441,2,-106.625,5,35.175,603_627.tsv
102,1444,2,-103.375,5,32.725,554_692.tsv
104,1445,1,-73.975,5,41.625,732_1280.tsv
106,1467,1,-73.925,5,41.225,724_1281.tsv
107,1471,2,-79.225,5,42.125,742_1175.tsv
130,1510,1,-84.525,5,39.425,688_1069.tsv
133,1514,2,-97.175,5,35.525,610_816.tsv
136,1516,2,-97.675,5,35.475,609_806.tsv
137,1517,2,-96.725,5,34.975,599_825.tsv
138,1519,2,-98.325,5,35.075,601_793.tsv
139,1520,2,-96.025,5,36.125,622_839.tsv
140,1521,2,-98.225,5,35.075,601_795.tsv
142,1522,2,-99.225,5,36.425,628_775.tsv
152,1544,2,-75.125,5,40.775,715_1257.tsv
154,1545,2,-76.625,5,40.975,719_1227.tsv
156,1550,1,-75.325,5,39.825,696_1253.tsv
160,1562,2,-82.425,5,34.575,591_1111.tsv
162,1567,1,-81.925,5,33.425,568_1121.tsv
176,1589,2,-96.575,5,32.825,556_828.tsv
177,1590,2,-96.925,5,32.725,554_821.tsv
179,1593,2,-106.425,5,31.975,539_631.tsv
180,1594,2,-95.525,5,30.425,508_849.tsv
181,1595,2,-93.875,5,30.025,500_882.tsv
183,1598,2,-95.225,5,29.825,496_855.tsv
