	i	date	count	countnew
0	0	2000-01-01	0.77	0.28125
1	1	2000-01-02	0.76	0.25
2	2	2000-01-03	0.75	0.21875
3	3	2000-01-04	0.76	0.25
4	4	2000-01-05	0.76	0.25
5	5	2000-01-06	0.75	0.21875
6	6	2000-01-07	1.0	1.0
7	7	2000-01-08	0.92	0.75
8	8	2000-01-09	0.91	0.71875
9	9	2000-01-10	0.91	0.71875
10	10	2000-01-11	0.9	0.6875
11	11	2000-01-12	0.9	0.6875
12	12	2000-01-13	0.89	0.65625
13	13	2000-01-14	0.89	0.65625
14	14	2000-01-15	0.89	0.65625
15	15	2000-01-16	0.86	0.5625
16	16	2000-01-17	0.88	0.625
17	17	2000-01-18	0.87	0.59375
18	18	2000-01-19	0.87	0.59375
19	19	2000-01-20	0.86	0.5625
20	20	2000-01-21	0.86	0.5625
21	21	2000-01-22	0.86	0.5625
22	22	2000-01-23	0.84	0.5
23	23	2000-01-24	0.82	0.4375
24	24	2000-01-25	0.85	0.53125
25	25	2000-01-26	0.84	0.5
26	26	2000-01-27	0.84	0.5
27	27	2000-01-28	0.83	0.46875
28	28	2000-01-29	0.83	0.46875
29	29	2000-01-30	0.83	0.46875
30	30	2000-01-31	0.82	0.4375
31	31	2000-02-01	0.82	0.4375
32	32	2000-02-02	0.82	0.4375
33	33	2000-02-03	0.81	0.40625
34	34	2000-02-04	0.79	0.34375
35	35	2000-02-05	0.79	0.34375
36	36	2000-02-06	0.79	0.34375
37	37	2000-02-07	0.98	0.9375
38	38	2000-02-08	1.0	1.0
39	39	2000-02-09	1.0	1.0
40	40	2000-02-10	0.98	0.9375
41	41	2000-02-11	1.0	1.0
42	42	2000-02-12	0.97	0.90625
43	43	2000-02-13	0.96	0.875
44	44	2000-02-14	0.97	0.90625
45	45	2000-02-15	1.0	1.0
46	46	2000-02-16	1.0	1.0
47	47	2000-02-17	0.97	0.90625
48	48	2000-02-18	1.0	1.0
49	49	2000-02-19	1.0	1.0
50	50	2000-02-20	0.98	0.9375
51	51	2000-02-21	0.97	0.90625
52	52	2000-02-22	1.0	1.0
53	53	2000-02-23	1.0	1.0
54	54	2000-02-24	1.0	1.0
55	55	2000-02-25	1.0	1.0
56	56	2000-02-26	1.0	1.0
57	57	2000-02-27	0.99	0.96875
58	58	2000-02-28	0.97	0.90625
59	59	2000-02-29	0.96	0.875
60	60	2000-03-01	0.96	0.875
61	61	2000-03-02	0.97	0.90625
62	62	2000-03-03	1.0	1.0
63	63	2000-03-04	1.0	1.0
64	64	2000-03-05	1.0	1.0
65	65	2000-03-06	1.0	1.0
66	66	2000-03-07	1.0	1.0
67	67	2000-03-08	0.99	0.96875
68	68	2000-03-09	0.98	0.9375
69	69	2000-03-10	1.0	1.0
70	70	2000-03-11	1.0	1.0
71	71	2000-03-12	1.0	1.0
72	72	2000-03-13	1.0	1.0
73	73	2000-03-14	1.0	1.0
74	74	2000-03-15	1.0	1.0
75	75	2000-03-16	1.0	1.0
76	76	2000-03-17	1.0	1.0
77	77	2000-03-18	1.0	1.0
78	78	2000-03-19	0.97	0.90625
79	79	2000-03-20	0.98	0.9375
80	80	2000-03-21	1.0	1.0
81	81	2000-03-22	0.99	0.96875
82	82	2000-03-23	0.98	0.9375
83	83	2000-03-24	0.97	0.90625
84	84	2000-03-25	0.97	0.90625
85	85	2000-03-26	0.98	0.9375
86	86	2000-03-27	0.96	0.875
87	87	2000-03-28	1.0	1.0
88	88	2000-03-29	1.0	1.0
89	89	2000-03-30	1.0	1.0
90	90	2000-03-31	0.97	0.90625
91	91	2000-04-01	1.0	1.0
92	92	2000-04-02	1.0	1.0
93	93	2000-04-03	1.0	1.0
94	94	2000-04-04	0.99	0.96875
95	95	2000-04-05	0.99	0.96875
96	96	2000-04-06	0.98	0.9375
97	97	2000-04-07	0.98	0.9375
98	98	2000-04-08	0.98	0.9375
99	99	2000-04-09	0.97	0.90625
100	100	2000-04-10	0.97	0.90625
101	101	2000-04-11	0.97	0.90625
102	102	2000-04-12	0.96	0.875
103	103	2000-04-13	0.95	0.84375
104	104	2000-04-14	0.96	0.875
105	105	2000-04-15	0.97	0.90625
106	106	2000-04-16	0.98	0.9375
107	107	2000-04-17	0.99	0.96875
108	108	2000-04-18	1.0	1.0
109	109	2000-04-19	1.0	1.0
110	110	2000-04-20	0.99	0.96875
111	111	2000-04-21	0.98	0.9375
112	112	2000-04-22	0.97	0.90625
113	113	2000-04-23	0.96	0.875
114	114	2000-04-24	0.95	0.84375
115	115	2000-04-25	0.95	0.84375
116	116	2000-04-26	0.96	0.875
117	117	2000-04-27	0.96	0.875
118	118	2000-04-28	0.96	0.875
119	119	2000-04-29	0.96	0.875
120	120	2000-04-30	0.96	0.875
121	121	2000-05-01	0.95	0.84375
122	122	2000-05-02	0.95	0.84375
123	123	2000-05-03	0.97	0.90625
124	124	2000-05-04	0.96	0.875
125	125	2000-05-05	0.96	0.875
126	126	2000-05-06	0.95	0.84375
127	127	2000-05-07	0.96	0.875
128	128	2000-05-08	0.97	0.90625
129	129	2000-05-09	0.97	0.90625
130	130	2000-05-10	0.98	0.9375
131	131	2000-05-11	0.97	0.90625
132	132	2000-05-12	0.96	0.875
133	133	2000-05-13	0.96	0.875
134	134	2000-05-14	0.96	0.875
135	135	2000-05-15	0.96	0.875
136	136	2000-05-16	0.96	0.875
137	137	2000-05-17	0.96	0.875
138	138	2000-05-18	0.96	0.875
139	139	2000-05-19	0.97	0.90625
140	140	2000-05-20	0.96	0.875
141	141	2000-05-21	0.96	0.875
142	142	2000-05-22	0.95	0.84375
143	143	2000-05-23	0.94	0.8125
144	144	2000-05-24	0.93	0.78125
145	145	2000-05-25	0.93	0.78125
146	146	2000-05-26	0.93	0.78125
147	147	2000-05-27	0.93	0.78125
