,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile
28,1339,6,-71.075,3,42.375,MA,747_1338.tsv
144,1526,6,-77.175,3,39.875,PA,697_1216.tsv
351,1870,6,-70.525,3,44.525,ME,790_1349.tsv
477,2104,6,-71.175,3,41.625,RI,732_1336.tsv
484,2114,6,-114.975,3,35.775,NV,615_460.tsv
490,2121,6,-97.075,3,32.425,TX,548_818.tsv
501,2142,6,-97.975,3,29.775,TX,495_800.tsv
503,2145,6,-71.925,3,41.875,CT,737_1321.tsv
517,2168,6,-71.525,3,42.075,MA,741_1329.tsv
716,72752,6,-71.475,3,42.125,MA,742_1330.tsv
727,72914,6,-114.975,3,36.425,NV,628_460.tsv
731,72951,6,-73.875,3,40.775,NY,715_1282.tsv
732,72955,6,-73.825,3,42.275,NY,745_1283.tsv
741,73184,6,-115.375,3,35.625,NV,612_452.tsv
769,73622,6,-122.925,3,46.625,WA,832_301.tsv
830,74486,6,-104.725,3,38.625,CO,672_665.tsv
837,74637,6,-120.825,3,45.825,WA,816_343.tsv
923,75909,6,-114.925,3,36.375,NV,627_461.tsv
991,76857,6,-89.425,3,33.275,MS,565_971.tsv
1058,78044,6,-114.925,3,36.425,NV,628_461.tsv
1110,606380,6,-111.875,3,39.825,UT,696_522.tsv
1146,883352,6,-103.325,3,32.775,NM,555_693.tsv
