,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile
0,1305,1,-84.575,2,36.975,KY,639_1068.tsv
1,1306,1,-84.225,2,37.875,KY,657_1075.tsv
4,1308,2,-93.275,2,30.325,LA,506_894.tsv
17,1327,1,-76.225,2,39.275,MD,685_1235.tsv
19,1329,2,-76.375,2,39.075,MD,681_1232.tsv
21,1329,1,-76.375,2,39.075,MD,681_1232.tsv
24,1336,1,-76.625,2,38.475,MD,669_1227.tsv
26,1337,1,-77.475,2,39.225,MD,684_1210.tsv
27,1338,1,-76.975,2,38.325,MD,666_1220.tsv
35,1352,1,-83.825,2,43.675,MI,773_1083.tsv
37,1354,1,-83.875,2,43.625,MI,772_1082.tsv
38,1360,1,-83.125,2,42.225,MI,744_1097.tsv
40,1361,1,-82.475,2,42.725,MI,754_1110.tsv
41,1362,1,-83.125,2,42.075,MI,741_1097.tsv
42,1363,2,-87.425,2,46.575,MI,831_1011.tsv
43,1365,1,-86.225,2,43.075,MI,761_1035.tsv
44,1367,1,-84.625,2,42.775,MI,755_1067.tsv
45,1368,2,-84.625,2,42.675,MI,753_1067.tsv
46,1370,2,-87.425,2,46.475,MI,829_1011.tsv
47,1371,1,-83.125,2,42.175,MI,743_1097.tsv
49,1374,2,-93.625,2,47.275,MN,845_887.tsv
52,1377,1,-92.775,2,45.025,MN,800_904.tsv
57,1383,2,-89.025,2,30.425,MS,508_979.tsv
59,1383,1,-89.025,2,30.425,MS,508_979.tsv
64,1388,2,-94.575,2,37.375,MO,647_868.tsv
65,1389,1,-94.475,2,39.125,MO,682_870.tsv
67,1390,2,-93.925,2,38.325,MO,666_881.tsv
68,1392,1,-94.175,2,39.175,MO,683_876.tsv
69,1393,1,-94.925,2,39.725,MO,694_861.tsv
71,1394,1,-90.825,2,38.575,MO,671_943.tsv
72,1395,1,-90.325,2,38.425,MO,668_953.tsv
73,1396,1,-90.275,2,38.925,MO,678_954.tsv
74,1397,2,-92.275,2,38.975,MO,679_914.tsv
75,1398,2,-94.325,2,39.075,MO,681_873.tsv
76,1399,2,-93.275,2,37.075,MO,641_894.tsv
77,1400,1,-89.525,2,36.475,MO,629_969.tsv
79,1406,2,-96.475,2,41.425,NE,728_830.tsv
80,1408,2,-96.775,2,40.575,NE,711_824.tsv
81,1410,1,-95.925,2,41.325,NE,726_841.tsv
82,1410,2,-95.925,2,41.325,NE,726_841.tsv
84,1412,2,-114.625,2,36.675,NV,633_467.tsv
88,1417,1,-71.475,2,43.125,NH,762_1330.tsv
89,1418,1,-70.725,2,43.075,NH,761_1345.tsv
91,1419,2,-74.625,2,39.275,NJ,685_1267.tsv
96,1433,1,-74.725,2,40.175,NJ,703_1265.tsv
97,1436,2,-108.475,2,36.725,NM,634_590.tsv
101,1442,2,-108.425,2,36.725,NM,634_591.tsv
103,1445,1,-73.975,2,41.625,NY,732_1280.tsv
108,1472,2,-82.575,2,35.475,NC,609_1108.tsv
110,1477,2,-79.075,2,36.475,NC,629_1178.tsv
112,1480,2,-81.025,2,35.175,NC,603_1139.tsv
114,1482,2,-81.775,2,35.225,NC,604_1124.tsv
116,1486,2,-100.875,2,46.875,ND,837_742.tsv
117,1487,2,-101.325,2,47.275,ND,845_733.tsv
118,1487,1,-101.325,2,47.275,ND,845_733.tsv
119,1488,2,-101.225,2,47.075,ND,841_735.tsv
120,1489,1,-101.375,2,47.325,ND,846_732.tsv
121,1490,2,-80.675,2,40.225,OH,704_1146.tsv
122,1492,2,-84.775,2,39.125,OH,682_1064.tsv
123,1492,1,-84.775,2,39.125,OH,682_1064.tsv
124,1497,2,-81.925,2,40.175,OH,703_1121.tsv
125,1500,1,-83.675,2,38.625,OH,672_1086.tsv
126,1500,2,-83.675,2,38.625,OH,672_1086.tsv
127,1504,1,-80.625,2,40.525,OH,710_1147.tsv
128,1507,1,-82.125,2,38.925,OH,678_1117.tsv
129,1510,1,-84.525,2,39.425,OH,688_1069.tsv
131,1511,2,-81.775,2,40.825,OH,716_1124.tsv
132,1512,2,-81.225,2,41.725,OH,734_1135.tsv
135,1515,2,-95.275,2,35.775,OK,615_854.tsv
145,1528,1,-75.075,2,40.925,PA,718_1258.tsv
146,1531,2,-79.125,2,40.375,PA,707_1177.tsv
147,1533,2,-79.175,2,40.475,PA,709_1176.tsv
148,1534,2,-79.075,2,40.375,PA,707_1178.tsv
149,1538,2,-79.375,2,40.625,PA,712_1172.tsv
150,1539,1,-80.375,2,40.925,PA,718_1152.tsv
151,1541,1,-76.675,2,40.125,PA,702_1226.tsv
153,1545,2,-76.625,2,40.975,PA,719_1227.tsv
155,1546,1,-76.825,2,40.825,PA,716_1223.tsv
163,1567,1,-81.925,2,33.425,SC,568_1121.tsv
164,1568,1,-80.625,2,33.825,SC,576_1147.tsv
165,1568,2,-80.625,2,33.825,SC,576_1147.tsv
166,1569,1,-79.925,2,33.025,SC,560_1161.tsv
167,1573,1,-90.175,2,35.075,TN,601_956.tsv
168,1574,1,-84.175,2,36.025,TN,620_1076.tsv
169,1575,1,-87.675,2,36.425,TN,628_1006.tsv
170,1576,1,-86.425,2,36.325,TN,626_1031.tsv
172,1578,1,-87.975,2,36.025,TN,620_1000.tsv
173,1579,1,-84.525,2,35.875,TN,617_1069.tsv
185,1603,2,-95.675,2,29.475,TX,489_846.tsv
195,1619,2,-96.075,2,31.825,TX,536_838.tsv
204,1649,2,-82.225,2,36.925,VA,638_1115.tsv
206,1652,1,-78.275,2,37.725,VA,654_1194.tsv
207,1653,1,-77.375,2,37.375,VA,647_1212.tsv
212,1656,1,-76.125,2,37.225,VA,644_1237.tsv
215,1657,2,-122.975,2,46.725,WA,834_300.tsv
216,1660,2,-81.825,2,38.475,WV,669_1123.tsv
217,1664,2,-79.975,2,39.675,WV,693_1160.tsv
218,1665,2,-80.275,2,39.425,WV,688_1154.tsv
219,1669,2,-80.825,2,39.825,WV,696_1143.tsv
220,1670,2,-79.275,2,39.225,WV,684_1174.tsv
222,1681,2,-89.675,2,44.825,WI,796_966.tsv
224,1681,1,-89.675,2,44.825,WI,796_966.tsv
225,1684,2,-91.225,2,43.575,WI,771_935.tsv
226,1686,2,-105.775,2,42.825,WY,756_644.tsv
227,1686,1,-105.775,2,42.825,WY,756_644.tsv
228,1687,2,-110.525,2,41.775,WY,735_549.tsv
230,1689,2,-84.775,2,42.025,MI,740_1064.tsv
232,1696,2,-111.425,2,36.925,AZ,638_531.tsv
233,1698,2,-87.125,2,33.575,AL,571_1017.tsv
234,1699,2,-81.275,2,39.375,WV,687_1134.tsv
