,Unnamed: 0,Unnamed: 0.1,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile,f,c
0,0,90,1418,1,-70.725,1,43.075,NH,761_1345.tsv,Bio-power,ST-OT
1,1,364,1896,2,-77.975,1,33.925,NC,578_1200.tsv,Bio-power,ST-RC
2,2,365,1897,2,-78.975,1,36.425,NC,628_1180.tsv,Bio-power,ST-RC
3,3,367,1904,2,-70.575,1,44.525,ME,790_1348.tsv,Bio-power,ST-RC
4,4,396,1959,1,-76.775,1,35.875,NC,617_1224.tsv,Bio-power,ST-OT
5,5,397,1960,2,-79.025,1,43.075,NY,761_1179.tsv,Bio-power,ST-RC
6,6,400,1970,2,-81.075,1,32.075,GA,541_1138.tsv,Bio-power,ST-RC
7,7,403,1971,1,-88.025,1,30.725,AL,514_999.tsv,Bio-power,ST-OT
8,8,417,2002,2,-79.525,1,34.125,SC,582_1169.tsv,Bio-power,ST-RC
9,9,438,2046,1,-121.325,1,37.925,CA,658_333.tsv,Bio-power,ST-OT
10,10,455,2074,2,-119.025,1,35.575,CA,611_379.tsv,Bio-power,ST-RC
11,11,606,2330,2,-73.175,1,44.475,VT,789_1296.tsv,Bio-power,ST-RC
12,12,720,72780,2,-93.125,1,30.225,LA,504_897.tsv,Bio-power,ST-RC
13,13,722,72793,2,-87.525,1,31.575,AL,531_1009.tsv,Bio-power,ST-RC
14,14,726,72862,2,-79.275,1,37.125,VA,642_1174.tsv,Bio-power,ST-RC
15,15,730,72938,2,-67.825,1,46.775,ME,835_1403.tsv,Bio-power,ST-RC
16,16,737,73085,2,-68.425,1,46.625,ME,832_1391.tsv,Bio-power,ST-RC
17,17,738,73093,2,-70.175,1,44.425,ME,788_1356.tsv,Bio-power,ST-RC
18,18,742,73195,2,-122.875,1,42.475,OR,749_302.tsv,Bio-power,ST-RC
19,19,743,73215,2,-75.775,1,44.025,NY,780_1244.tsv,Bio-power,ST-RC
20,20,746,73276,2,-70.425,1,45.175,ME,803_1351.tsv,Bio-power,ST-RC
21,21,750,73332,2,-71.725,1,43.625,NH,772_1325.tsv,Bio-power,ST-RC
22,22,753,73408,2,-121.625,1,40.975,CA,719_327.tsv,Bio-power,ST-RC
23,23,756,73458,2,-85.425,1,44.275,MI,785_1051.tsv,Bio-power,ST-RC
24,24,777,73720,2,-123.325,1,42.925,OR,758_293.tsv,Bio-power,ST-RC
25,25,778,73721,2,-118.725,1,44.475,OR,789_385.tsv,Bio-power,ST-RC
26,26,782,73770,2,-88.425,1,33.425,MS,568_991.tsv,Bio-power,ST-RC
27,27,788,73855,1,-79.975,1,37.775,VA,655_1160.tsv,Bio-power,ST-OT
28,28,790,73867,2,-77.075,1,35.125,NC,602_1218.tsv,Bio-power,ST-RC
29,29,795,73950,2,-93.225,1,30.825,LA,516_895.tsv,Bio-power,ST-RC
30,30,797,73974,2,-119.225,1,35.725,CA,614_375.tsv,Bio-power,ST-RC
31,31,808,74166,2,-80.625,1,33.875,SC,577_1147.tsv,Bio-power,ST-RC
32,32,817,74306,2,-124.175,1,40.775,CA,715_276.tsv,Bio-power,ST-RC
33,33,828,74475,2,-91.275,1,43.825,WI,776_934.tsv,Bio-power,ST-RC
34,34,834,74573,2,-83.675,1,43.075,MI,761_1086.tsv,Bio-power,ST-RC
35,35,840,74695,2,-84.675,1,44.575,MI,791_1066.tsv,Bio-power,ST-RC
36,36,843,74761,2,-120.275,1,40.275,CA,705_354.tsv,Bio-power,ST-RC
37,37,850,74886,2,-72.075,1,43.425,NH,768_1318.tsv,Bio-power,ST-RC
38,38,852,74906,2,-92.925,1,47.425,MN,848_901.tsv,Bio-power,ST-RC
39,39,856,74936,2,-83.875,1,45.075,MI,801_1082.tsv,Bio-power,ST-RC
40,40,859,74986,2,-77.275,1,37.325,VA,646_1214.tsv,Bio-power,ST-RC
