,place,lon,lat,cooling,fuel,state,f,c,idc
1,1307,-91.225,30.425,2,5,LA,Oil,ST-RC,2
5,1310,-92.175,30.825,4,3,LA,Gas,CC-OT,2
12,1319,-90.625,29.575,2,5,LA,Oil,ST-RC,2
13,1320,-92.025,30.225,2,5,LA,Oil,ST-RC,2
14,1322,-91.225,29.725,2,5,LA,Oil,ST-RC,2
15,1324,-91.325,30.675,2,5,LA,Oil,ST-RC,2
173,1585,-97.375,27.775,5,3,TX,Gas,CC-RC,2
174,1587,-97.025,28.775,5,3,TX,Gas,CC-RC,2
179,1594,-95.525,30.425,2,5,TX,Oil,ST-RC,2
180,1595,-93.875,30.025,2,5,TX,Oil,ST-RC,2
181,1596,-94.925,29.675,5,3,TX,Gas,CC-RC,2
182,1598,-95.225,29.825,2,5,TX,Oil,ST-RC,2
183,1602,-95.525,29.925,5,3,TX,Gas,CC-RC,2
184,1603,-95.675,29.475,2,2,TX,Coal,ST-RC,2
185,1603,-95.675,29.475,2,5,TX,Oil,ST-RC,2
199,1641,-98.275,29.275,2,5,TX,Oil,ST-RC,2
200,1642,-98.375,29.225,2,5,TX,Oil,ST-RC,2
201,1646,-99.075,28.925,2,5,TX,Oil,ST-RC,2
246,1713,-82.325,27.625,2,5,FL,Oil,ST-RC,2
247,1713,-82.325,27.625,5,3,FL,Gas,CC-RC,2
248,1714,-80.575,27.075,5,3,FL,Gas,CC-RC,2
249,1714,-80.575,27.075,2,5,FL,Oil,ST-RC,2
287,1752,-97.225,28.725,2,2,TX,Coal,ST-RC,2
288,1753,-96.775,29.925,2,2,TX,Coal,ST-RC,2
289,1754,-98.475,28.725,2,2,TX,Coal,ST-RC,2
298,1763,-81.625,29.625,5,3,FL,Gas,CC-RC,2
318,1785,-98.325,29.275,2,2,TX,Coal,ST-RC,2
322,1789,-81.975,27.725,5,2,FL,Coal,CC-RC,2
324,1793,-81.875,27.775,5,3,FL,Gas,CC-RC,2
328,1799,-98.375,29.275,5,3,TX,Gas,CC-RC,2
367,1906,-96.575,28.675,5,3,TX,Gas,CC-RC,2
373,1915,-81.625,30.425,2,2,FL,Coal,ST-RC,2
377,1926,-95.075,29.625,5,3,TX,Gas,CC-RC,2
388,1945,-95.025,29.675,5,3,TX,Gas,CC-RC,2
393,1956,-90.375,29.925,5,3,LA,Gas,CC-RC,2
394,1957,-94.825,29.425,5,3,TX,Gas,CC-RC,2
417,2004,-95.075,29.775,5,3,TX,Gas,CC-RC,2
419,2009,-81.975,27.625,5,3,FL,Gas,CC-RC,2
421,2012,-93.975,29.825,5,3,TX,Gas,CC-RC,2
423,2014,-80.525,27.025,2,2,FL,Coal,ST-RC,2
428,2024,-94.725,29.375,5,3,TX,Gas,CC-RC,2
429,2026,-95.375,28.975,5,3,TX,Gas,CC-RC,2
430,2030,-94.775,29.375,5,3,TX,Gas,CC-RC,2
443,2055,-81.825,27.875,5,3,FL,Gas,CC-RC,2
444,2056,-81.675,28.925,5,3,FL,Gas,CC-RC,2
445,2057,-82.175,28.375,5,3,FL,Gas,CC-RC,2
446,2059,-81.875,27.825,5,3,FL,Gas,CC-RC,2
456,2078,-81.825,28.075,5,3,FL,Gas,CC-RC,2
457,2080,-95.375,28.925,5,3,TX,Gas,CC-RC,2
483,2114,-114.975,35.775,6,3,NV,Gas,CC-DC,2
486,2118,-97.275,27.875,5,3,TX,Gas,CC-RC,2
489,2121,-97.075,32.425,6,3,TX,Gas,CC-DC,2
491,2123,-98.375,26.175,5,3,TX,Gas,CC-RC,2
493,2128,-93.725,30.025,5,3,TX,Gas,CC-RC,2
494,2133,-93.775,29.975,5,3,TX,Gas,CC-RC,2
495,2135,-98.225,26.325,5,3,TX,Gas,CC-RC,2
500,2142,-97.975,29.775,6,3,TX,Gas,CC-DC,2
506,2152,-97.325,31.825,5,3,TX,Gas,CC-RC,2
512,2159,-95.075,29.825,5,3,TX,Gas,CC-RC,2
514,2166,-97.425,27.825,5,3,TX,Gas,CC-RC,2
530,2207,-97.225,27.875,5,3,TX,Gas,CC-RC,2
539,2228,-98.175,26.325,5,3,TX,Gas,CC-RC,2
545,2241,-81.925,27.625,5,3,FL,Gas,CC-RC,2
572,2270,-81.575,29.775,2,2,FL,Coal,ST-RC,2
582,2281,-81.525,30.375,2,2,FL,Coal,ST-RC,2
603,2328,-81.175,28.475,5,3,FL,Gas,CC-RC,2
604,2328,-81.175,28.475,2,2,FL,Coal,ST-RC,2
610,2340,-81.825,26.675,4,3,FL,Gas,CC-OT,2
611,2341,-80.225,26.075,5,3,FL,Gas,CC-RC,2
612,2344,-81.325,28.825,5,3,FL,Gas,CC-RC,2
613,2345,-80.325,25.425,2,4,FL,Nuclear,ST-RC,2
614,2345,-80.325,25.425,5,3,FL,Gas,CC-RC,2
615,2345,-80.325,25.425,2,5,FL,Oil,ST-RC,2
616,2346,-82.725,28.925,2,2,FL,Coal,ST-RC,2
617,2350,-83.175,30.375,1,5,FL,Oil,ST-OT,2
621,2358,-82.425,29.775,2,5,FL,Oil,ST-RC,2
622,2358,-82.425,29.775,2,2,FL,Coal,ST-RC,2
623,2359,-82.325,29.675,5,3,FL,Gas,CC-RC,2
626,2363,-80.075,26.625,5,3,FL,Gas,CC-RC,2
627,2364,-81.925,28.025,5,3,FL,Gas,CC-RC,2
628,2365,-81.925,28.075,2,5,FL,Oil,ST-RC,2
629,2365,-81.925,28.075,5,3,FL,Gas,CC-RC,2
630,2365,-81.925,28.075,2,2,FL,Coal,ST-RC,2
714,72749,-97.725,32.325,5,3,TX,Gas,CC-RC,2
719,72780,-93.125,30.225,2,1,LA,Bio-power,ST-RC,2
735,73072,-94.825,29.775,5,3,TX,Gas,CC-RC,2
748,73318,-95.575,29.475,5,3,TX,Gas,CC-RC,2
760,73503,-81.525,28.275,5,3,FL,Gas,CC-RC,2
766,73583,-81.575,28.425,5,3,FL,Gas,CC-RC,2
794,73950,-93.225,30.825,2,1,LA,Bio-power,ST-RC,2
795,73961,-95.075,29.725,5,3,TX,Gas,CC-RC,2
872,75123,-101.775,33.575,5,3,TX,Gas,CC-RC,2
873,75123,-101.775,33.575,2,5,TX,Oil,ST-RC,2
874,75127,-98.325,29.325,2,2,TX,Coal,ST-RC,2
927,76008,-121.025,40.275,2,1,CA,Bio-power,ST-RC,2
936,76169,-93.725,30.275,5,3,TX,Gas,CC-RC,2
947,76312,-80.775,26.575,2,1,FL,Bio-power,ST-RC,2
950,76368,-81.825,28.025,5,3,FL,Gas,CC-RC,2
968,76642,-91.225,30.325,5,3,LA,Gas,CC-RC,2
972,76675,-93.875,29.875,5,3,TX,Gas,CC-RC,2
973,76681,-91.275,30.625,2,1,LA,Bio-power,ST-RC,2
974,76681,-91.275,30.625,2,2,LA,Coal,ST-RC,2
989,76857,-89.425,33.275,6,3,MS,Gas,CC-DC,2
991,76886,-81.875,28.025,2,1,FL,Bio-power,ST-RC,2
996,76915,-91.425,30.725,2,4,LA,Nuclear,ST-RC,2
1037,77622,-81.825,27.725,5,3,FL,Gas,CC-RC,2
1044,77709,-90.425,29.975,5,3,LA,Gas,CC-RC,2
1054,77938,-96.025,28.825,2,4,TX,Nuclear,ST-RC,2
1058,78060,-97.525,25.875,2,5,TX,Oil,ST-RC,2
1059,78060,-97.525,25.875,5,3,TX,Gas,CC-RC,2
1065,78220,-97.125,28.875,1,5,TX,Oil,ST-OT,2
1066,78220,-97.125,28.875,4,3,TX,Gas,CC-OT,2
1074,385617,-96.025,46.275,2,2,MN,Coal,ST-RC,2
1075,385643,-91.175,30.475,2,5,LA,Oil,ST-RC,2
1088,587788,-95.425,28.975,5,3,TX,Gas,CC-RC,2
1091,587898,-94.725,29.325,5,3,TX,Gas,CC-RC,2
1127,732898,-80.375,26.675,5,3,FL,Gas,CC-RC,2
1131,748853,-80.375,27.375,5,3,FL,Gas,CC-RC,2
1132,751356,-96.575,28.625,2,2,TX,Coal,ST-RC,2
1162,1173151,-82.375,29.775,2,1,FL,Bio-power,ST-RC,2
