cartodb_id,the_geom,name,id,symbolfld,nrel_id,cooling,nameplate,longitude,fuel,latitude,lakeocean,pca,state
1,0101000020E6100000CDCCCCCCCC2455C0CDCCCCCCCC7C4240,1305,1,Default Symbol,1305,1,344,-84.575,2,36.975,0,p93,KY
2,0101000020E610000066666666660E55C00000000000F04240,1306,2,Default Symbol,1306,1,162,-84.225,2,37.875,0,p109,KY
3,0101000020E61000006666666666CE56C0CDCCCCCCCC6C3E40,1307,3,Default Symbol,1307,2,148.5,-91.225,5,30.425,0,p58,LA
4,0101000020E61000009A999999995157C03333333333533E40,1308,1,Default Symbol,1308,2,755,-93.275,5,30.325,0,p58,LA
5,0101000020E61000009A999999995157C03333333333533E40,1308,4,Default Symbol,1308,2,841.801,-93.275,2,30.325,0,p58,LA
6,0101000020E61000000000000000C856C09A99999999393E40,1309,5,Default Symbol,1309,1,2178,-91.125,5,30.225,0,p58,LA
7,0101000020E610000033333333330B57C03333333333D33E40,1310,6,Default Symbol,1310,4,922.8,-92.175,3,30.825,0,p58,LA
8,0101000020E61000009A99999999A156C06666666666063E40,1312,7,Default Symbol,1312,1,1250.6,-90.525,5,30.025,0,p58,LA
9,0101000020E610000000000000008856C0CDCCCCCCCCEC3D40,1313,8,Default Symbol,1313,5,561.1,-90.125,3,29.925,0,p58,LA
10,0101000020E610000000000000008856C0CDCCCCCCCCEC3D40,1313,2,Default Symbol,1313,1,2029,-90.125,5,29.925,0,p58,LA
11,0101000020E6100000CDCCCCCCCC0457C03333333333634040,1314,9,Default Symbol,1314,5,226.3,-92.075,3,32.775,0,p86,LA
12,0101000020E61000009A999999997157C03333333333434040,1317,10,Default Symbol,1317,5,624,-93.775,3,32.525,0,p58,LA
13,0101000020E61000009A999999997157C03333333333434040,1317,3,Default Symbol,1317,1,125,-93.775,5,32.525,0,p58,LA
14,0101000020E61000000000000000A856C03333333333933D40,1319,11,Default Symbol,1319,2,78.9,-90.625,5,29.575,0,p58,LA
15,0101000020E61000009A999999990157C09A99999999393E40,1320,12,Default Symbol,1320,2,340.9,-92.025,5,30.225,1,p58,LA
16,0101000020E61000006666666666CE56C09A99999999B93D40,1322,13,Default Symbol,1322,2,12,-91.225,5,29.725,1,p58,LA
