years,place,lat,lon,cooling
2,1305,36.975,-84.575,1
6,1306,37.875,-84.225,1
8,1307,30.425,-91.225,2
3,1308,30.325,-93.275,2
10,1308,30.325,-93.275,2
1,1309,30.225,-91.125,1
10,1310,30.825,-92.175,4
,1312,30.025,-90.525,1
,1313,29.925,-90.125,5
,1313,29.925,-90.125,1
,1314,32.775,-92.075,5
,1317,32.525,-93.775,5
,1317,32.525,-93.775,1
,1319,29.575,-90.625,2
,1320,30.225,-92.025,2
,1322,29.725,-91.225,2
,1324,30.675,-91.325,2
,1327,39.275,-76.225,1
,1328,39.175,-76.425,1
,1329,39.075,-76.375,2
,1329,39.075,-76.375,1
,1329,39.075,-76.375,1
,1332,39.125,-76.375,1
,1334,38.425,-75.825,1
,1336,38.475,-76.625,1
,1336,38.475,-76.625,2
,1337,39.225,-77.475,1
,1338,38.325,-76.975,1
,1339,42.375,-71.075,6
,1339,42.375,-71.075,1
,1342,42.375,-71.125,5
,1348,42.075,-72.625,1
,1349,42.225,-70.925,5
,1350,41.875,-71.075,5
,1350,41.875,-71.075,1
,1352,43.675,-83.825,1
,1352,43.675,-83.825,2
,1354,43.625,-83.875,1
,1360,42.225,-83.125,1
,1360,42.225,-83.125,1
,1361,42.725,-82.475,1
,1362,42.075,-83.125,1
,1363,46.575,-87.425,2
,1365,43.075,-86.225,1
,1367,42.775,-84.625,1
,1368,42.675,-84.625,2
,1370,46.475,-87.425,2
,1371,42.175,-83.125,1
,1371,42.175,-83.125,1
,1374,47.275,-93.625,2
,1375,44.825,-93.225,4
,1376,44.925,-93.125,4
,1377,45.025,-92.775,1
,1378,36.025,-95.975,2
,1380,44.025,-92.475,2
,1382,32.275,-88.725,2
,1383,30.425,-89.025,1
,1383,30.425,-89.025,2
,1383,30.425,-89.025,2
,1383,30.425,-89.025,1
,1384,32.275,-90.975,2
,1386,32.275,-90.175,2
,1387,31.525,-89.325,5
,1387,31.525,-89.325,2
,1388,37.375,-94.575,2
,1389,39.125,-94.475,1
,1389,39.125,-94.475,4
,1390,38.325,-93.925,2
,1392,39.175,-94.175,1
,1393,39.725,-94.925,1
,1393,39.725,-94.925,2
,1394,38.575,-90.825,1
,1395,38.425,-90.325,1
,1396,38.925,-90.275,1
,1397,38.975,-92.275,2
,1398,39.075,-94.325,2
