,place,lat,lon,cooling
0,1305,36.975,-84.575,1
1,1306,37.875,-84.225,1
5,1309,30.225,-91.125,1
7,1312,30.025,-90.525,1
9,1313,29.925,-90.125,1
12,1317,32.525,-93.775,1
17,1327,39.275,-76.225,1
18,1328,39.175,-76.425,1
20,1329,39.075,-76.375,1
21,1329,39.075,-76.375,1
22,1332,39.125,-76.375,1
23,1334,38.425,-75.825,1
24,1336,38.475,-76.625,1
26,1337,39.225,-77.475,1
27,1338,38.325,-76.975,1
29,1339,42.375,-71.075,1
31,1348,42.075,-72.625,1
34,1350,41.875,-71.075,1
35,1352,43.675,-83.825,1
37,1354,43.625,-83.875,1
38,1360,42.225,-83.125,1
39,1360,42.225,-83.125,1
40,1361,42.725,-82.475,1
41,1362,42.075,-83.125,1
43,1365,43.075,-86.225,1
44,1367,42.775,-84.625,1
47,1371,42.175,-83.125,1
48,1371,42.175,-83.125,1
52,1377,45.025,-92.775,1
56,1383,30.425,-89.025,1
59,1383,30.425,-89.025,1
65,1389,39.125,-94.475,1
68,1392,39.175,-94.175,1
69,1393,39.725,-94.925,1
71,1394,38.575,-90.825,1
72,1395,38.425,-90.325,1
73,1396,38.925,-90.275,1
77,1400,36.475,-89.525,1
78,1405,40.675,-99.675,1
81,1410,41.325,-95.925,1
88,1417,43.125,-71.475,1
89,1418,43.075,-70.725,1
90,1418,43.075,-70.725,1
96,1433,40.175,-74.725,1
103,1445,41.625,-73.975,1
104,1445,41.625,-73.975,1
105,1450,41.325,-73.975,1
106,1467,41.225,-73.925,1
118,1487,47.275,-101.325,1
120,1489,47.325,-101.375,1
123,1492,39.125,-84.775,1
125,1500,38.625,-83.675,1
127,1504,40.525,-80.625,1
128,1507,38.925,-82.125,1
129,1510,39.425,-84.525,1
130,1510,39.425,-84.525,1
145,1528,40.925,-75.075,1
150,1539,40.925,-80.375,1
151,1541,40.125,-76.675,1
155,1546,40.825,-76.825,1
156,1550,39.825,-75.325,1
162,1567,33.425,-81.925,1
163,1567,33.425,-81.925,1
164,1568,33.825,-80.625,1
166,1569,33.025,-79.925,1
167,1573,35.075,-90.175,1
168,1574,36.025,-84.175,1
169,1575,36.425,-87.675,1
170,1576,36.325,-86.425,1
172,1578,36.025,-87.975,1
173,1579,35.875,-84.525,1
205,1652,37.725,-78.275,1
206,1652,37.725,-78.275,1
207,1653,37.375,-77.375,1
211,1655,38.475,-77.275,1
212,1656,37.225,-76.125,1
213,1656,37.225,-76.125,1
223,1681,44.825,-89.675,1
224,1681,44.825,-89.675,1
227,1686,42.825,-105.775,1
244,1710,42.775,-82.475,1
254,1716,30.725,-91.375,1
256,1718,39.175,-94.675,1
257,1719,39.425,-94.975,1
263,1724,41.175,-101.125,1
266,1728,47.675,-104.125,1
270,1733,40.625,-95.775,1
277,1739,32.375,-81.175,1
283,1746,38.125,-90.275,1
313,1779,37.925,-87.375,1
335,1814,41.575,-73.975,1
338,1822,30.025,-90.575,1
349,1835,40.525,-79.825,1
379,1927,39.625,-79.975,1
396,1959,35.875,-76.775,1
402,1971,30.725,-88.025,1
403,1971,30.725,-88.025,1
406,1979,39.775,-80.875,1
433,2036,39.575,-75.525,1
438,2046,37.925,-121.325,1
545,2240,30.975,-87.975,1
547,2242,33.975,-85.975,1
548,2242,33.975,-85.975,1
549,2243,33.625,-87.175,1
551,2244,32.575,-87.775,1
552,2245,33.225,-86.475,1
554,2245,33.225,-86.475,1
555,2246,34.775,-87.825,1
557,2250,31.475,-87.925,1
562,2257,29.825,-91.525,1
582,2278,34.425,-92.925,1
601,2325,41.425,-72.075,1
602,2327,41.525,-72.575,1
607,2332,39.625,-75.575,1
618,2350,30.375,-83.175,1
620,2351,30.575,-87.225,1
625,2361,30.375,-81.425,1
626,2361,30.375,-81.425,1
637,2372,34.225,-85.375,1
638,2375,31.425,-84.175,1
641,2378,41.525,-90.475,1
642,2382,40.575,-89.675,1
645,2390,41.525,-88.125,1
648,2396,41.625,-88.075,1
649,2398,37.225,-88.875,1
652,2401,41.275,-89.325,1
653,2405,38.825,-90.125,1
656,2411,38.725,-85.425,1
657,2414,39.725,-86.175,1
659,2414,39.725,-86.175,1
661,2416,38.525,-87.275,1
665,2420,39.925,-87.425,1
668,2423,38.275,-85.825,1
670,2424,39.525,-87.425,1
671,2425,37.875,-87.325,1
674,2429,42.525,-90.625,1
675,2429,42.525,-90.625,1
676,2430,43.325,-91.175,1
678,2433,41.975,-91.625,1
682,2436,41.175,-95.875,1
683,2437,42.325,-96.375,1
684,2438,40.775,-91.125,1
686,2440,42.525,-92.425,1
699,2457,39.125,-94.625,1
706,2466,37.825,-87.075,1
708,2468,37.175,-88.775,1
734,73009,35.275,-91.375,1
751,73358,34.725,-87.125,1
759,73485,38.425,-76.325,1
763,73519,46.825,-67.975,1
779,73740,32.825,-79.925,1
785,73813,40.375,-95.675,1
788,73855,37.775,-79.975,1
799,74066,40.525,-81.475,1
800,74066,40.525,-81.475,1
816,74298,40.175,-97.175,1
824,74417,41.525,-96.075,1
871,75075,41.275,-73.975,1
886,75189,44.275,-91.925,1
906,75632,46.725,-92.125,1
911,75751,33.525,-92.775,1
933,76102,42.275,-96.375,1
935,76147,44.325,-94.475,1
962,76505,39.725,-76.225,1
978,76730,44.625,-92.625,1
981,76780,41.725,-90.325,1
985,76820,47.175,-93.475,1
1021,77255,30.025,-90.475,1
1048,77749,37.175,-76.675,1
1057,77977,44.675,-69.625,1
1067,78220,28.875,-97.125,1
1127,676259,38.625,-82.875,1
