,Unnamed: 0,Unnamed: 0.1,place,cooling,lon,fuel,lat,state,dischargefile,f,c
0,0,28,1339,6,-71.075,3,42.375,MA,747_1338.tsv,Gas,CC-DC
1,1,144,1526,6,-77.175,3,39.875,PA,697_1216.tsv,Gas,CC-DC
2,2,351,1870,6,-70.525,3,44.525,ME,790_1349.tsv,Gas,CC-DC
3,3,477,2104,6,-71.175,3,41.625,RI,732_1336.tsv,Gas,CC-DC
4,4,484,2114,6,-114.975,3,35.775,NV,615_460.tsv,Gas,CC-DC
5,5,490,2121,6,-97.075,3,32.425,TX,548_818.tsv,Gas,CC-DC
6,6,501,2142,6,-97.975,3,29.775,TX,495_800.tsv,Gas,CC-DC
7,7,503,2145,6,-71.925,3,41.875,CT,737_1321.tsv,Gas,CC-DC
8,8,517,2168,6,-71.525,3,42.075,MA,741_1329.tsv,Gas,CC-DC
9,9,716,72752,6,-71.475,3,42.125,MA,742_1330.tsv,Gas,CC-DC
10,10,727,72914,6,-114.975,3,36.425,NV,628_460.tsv,Gas,CC-DC
11,11,731,72951,6,-73.875,3,40.775,NY,715_1282.tsv,Gas,CC-DC
12,12,732,72955,6,-73.825,3,42.275,NY,745_1283.tsv,Gas,CC-DC
13,13,741,73184,6,-115.375,3,35.625,NV,612_452.tsv,Gas,CC-DC
14,14,769,73622,6,-122.925,3,46.625,WA,832_301.tsv,Gas,CC-DC
15,15,830,74486,6,-104.725,3,38.625,CO,672_665.tsv,Gas,CC-DC
16,16,837,74637,6,-120.825,3,45.825,WA,816_343.tsv,Gas,CC-DC
17,17,923,75909,6,-114.925,3,36.375,NV,627_461.tsv,Gas,CC-DC
18,18,991,76857,6,-89.425,3,33.275,MS,565_971.tsv,Gas,CC-DC
19,19,1058,78044,6,-114.925,3,36.425,NV,628_461.tsv,Gas,CC-DC
20,20,1110,606380,6,-111.875,3,39.825,UT,696_522.tsv,Gas,CC-DC
21,21,1146,883352,6,-103.325,3,32.775,NM,555_693.tsv,Gas,CC-DC
