,place,lat,lon,cooling
2,1307,30.425,-91.225,2
3,1308,30.325,-93.275,2
4,1308,30.325,-93.275,2
13,1319,29.575,-90.625,2
14,1320,30.225,-92.025,2
15,1322,29.725,-91.225,2
16,1324,30.675,-91.325,2
19,1329,39.075,-76.375,2
25,1336,38.475,-76.625,2
36,1352,43.675,-83.825,2
42,1363,46.575,-87.425,2
45,1368,42.675,-84.625,2
46,1370,46.475,-87.425,2
49,1374,47.275,-93.625,2
53,1378,36.025,-95.975,2
54,1380,44.025,-92.475,2
55,1382,32.275,-88.725,2
57,1383,30.425,-89.025,2
58,1383,30.425,-89.025,2
60,1384,32.275,-90.975,2
61,1386,32.275,-90.175,2
63,1387,31.525,-89.325,2
64,1388,37.375,-94.575,2
67,1390,38.325,-93.925,2
70,1393,39.725,-94.925,2
74,1397,38.975,-92.275,2
75,1398,39.075,-94.325,2
76,1399,37.075,-93.275,2
79,1406,41.425,-96.475,2
80,1408,40.575,-96.775,2
82,1410,41.325,-95.925,2
84,1412,36.675,-114.625,2
85,1414,39.125,-119.125,2
86,1415,39.575,-119.525,2
91,1419,39.275,-74.625,2
92,1419,39.275,-74.625,2
97,1436,36.725,-108.475,2
98,1437,31.825,-106.575,2
99,1439,32.725,-103.325,2
100,1441,35.175,-106.625,2
101,1442,36.725,-108.425,2
102,1444,32.725,-103.375,2
107,1471,42.125,-79.225,2
108,1472,35.475,-82.575,2
110,1477,36.475,-79.075,2
112,1480,35.175,-81.025,2
114,1482,35.225,-81.775,2
116,1486,46.875,-100.875,2
117,1487,47.275,-101.325,2
119,1488,47.075,-101.225,2
121,1490,40.225,-80.675,2
122,1492,39.125,-84.775,2
124,1497,40.175,-81.925,2
126,1500,38.625,-83.675,2
131,1511,40.825,-81.775,2
132,1512,41.725,-81.225,2
133,1514,35.525,-97.175,2
135,1515,35.775,-95.275,2
136,1516,35.475,-97.675,2
137,1517,34.975,-96.725,2
138,1519,35.075,-98.325,2
139,1520,36.125,-96.025,2
140,1521,35.075,-98.225,2
142,1522,36.425,-99.225,2
146,1531,40.375,-79.125,2
147,1533,40.475,-79.175,2
148,1534,40.375,-79.075,2
149,1538,40.625,-79.375,2
152,1544,40.775,-75.125,2
153,1545,40.975,-76.625,2
154,1545,40.975,-76.625,2
159,1561,34.425,-80.175,2
160,1562,34.575,-82.425,2
165,1568,33.825,-80.625,2
176,1589,32.825,-96.575,2
177,1590,32.725,-96.925,2
179,1593,31.975,-106.425,2
180,1594,30.425,-95.525,2
181,1595,30.025,-93.875,2
183,1598,29.825,-95.225,2
185,1603,29.475,-95.675,2
186,1603,29.475,-95.675,2
187,1605,32.325,-94.675,2
188,1606,32.925,-94.725,2
189,1607,32.825,-94.525,2
190,1608,33.525,-101.725,2
191,1609,35.825,-102.025,2
192,1610,35.275,-101.725,2
193,1611,34.175,-102.425,2
194,1615,32.725,-97.225,2
195,1619,31.825,-96.075,2
196,1622,31.925,-94.975,2
197,1624,32.125,-96.125,2
198,1636,30.125,-97.275,2
199,1637,33.525,-101.775,2
200,1641,29.275,-98.275,2
201,1642,29.225,-98.375,2
202,1646,28.925,-99.075,2
203,1648,40.775,-111.925,2
204,1649,36.925,-82.225,2
209,1655,38.475,-77.275,2
215,1657,46.725,-122.975,2
216,1660,38.475,-81.825,2
217,1664,39.675,-79.975,2
218,1665,39.425,-80.275,2
219,1669,39.825,-80.825,2
220,1670,39.225,-79.275,2
222,1681,44.825,-89.675,2
225,1684,43.575,-91.225,2
226,1686,42.825,-105.775,2
228,1687,41.775,-110.525,2
229,1688,33.175,-96.125,2
230,1689,42.025,-84.775,2
231,1690,33.225,-97.125,2
232,1696,36.925,-111.425,2
233,1698,33.575,-87.125,2
234,1699,39.375,-81.275,2
235,1700,34.425,-92.125,2
236,1701,34.175,-118.325,2
237,1702,40.475,-89.975,2
238,1703,38.925,-88.275,2
239,1704,38.875,-84.825,2
240,1705,38.875,-84.225,2
241,1706,40.475,-107.575,2
242,1708,47.275,-101.125,2
243,1709,38.675,-83.475,2
245,1711,43.125,-82.675,2
246,1712,38.725,-83.825,2
247,1713,27.625,-82.325,2
250,1714,27.075,-80.575,2
251,1715,33.425,-84.925,2
252,1716,30.725,-91.375,2
253,1716,30.725,-91.375,2
255,1717,31.225,-89.425,2
258,1720,39.175,-96.125,2
259,1721,38.575,-85.425,2
260,1722,30.525,-88.625,2
262,1723,46.275,-106.625,2
265,1727,41.225,-87.025,2
267,1729,45.375,-93.925,2
268,1731,40.625,-80.425,2
269,1732,36.475,-97.025,2
271,1733,40.625,-95.775,2
272,1734,45.325,-96.475,2
274,1736,45.675,-119.775,2
276,1738,38.375,-87.825,2
278,1740,30.625,-96.075,2
279,1741,37.875,-87.725,2
280,1742,36.275,-94.525,2
281,1743,33.075,-94.825,2
282,1744,32.275,-94.525,2
284,1748,39.175,-111.025,2
285,1749,37.875,-87.025,2
286,1750,42.525,-87.875,2
287,1751,34.575,-109.275,2
288,1752,28.725,-97.225,2
289,1753,29.925,-96.775,2
290,1754,28.725,-98.475,2
291,1755,31.375,-92.725,2
292,1755,31.375,-92.725,2
293,1756,35.325,-101.775,2
294,1757,34.175,-102.575,2
295,1758,37.125,-93.375,2
296,1759,42.125,-104.875,2
297,1761,39.075,-87.525,2
298,1762,30.725,-96.475,2
300,1764,40.275,-103.675,2
301,1765,33.225,-79.375,2
302,1766,36.525,-78.875,2
303,1767,41.125,-92.575,2
304,1768,33.075,-83.825,2
305,1770,38.975,-81.975,2
306,1771,47.525,-101.825,2
307,1772,39.525,-112.575,2
308,1773,31.325,-92.475,2
309,1775,37.575,-87.425,2
310,1776,35.675,-91.425,2
311,1777,30.575,-97.025,2
312,1778,41.325,-91.075,2
314,1780,40.875,-105.025,2
315,1781,36.875,-89.625,2
316,1782,33.975,-95.325,2
317,1783,37.425,-87.125,2
318,1784,31.075,-96.725,2
319,1785,29.275,-98.325,2
321,1787,33.325,-80.925,2
322,1788,36.875,-78.675,2
332,1808,40.125,-109.675,2
333,1809,32.475,-94.475,2
334,1813,43.075,-70.775,2
336,1817,43.475,-89.475,2
337,1821,33.375,-91.125,2
340,1825,41.575,-109.475,2
342,1827,39.375,-111.075,2
344,1830,38.975,-82.075,2
345,1831,38.675,-104.725,2
346,1832,47.525,-101.775,2
347,1833,34.325,-109.175,2
348,1834,40.875,-117.125,2
354,1875,39.775,-75.475,2
356,1878,40.575,-78.825,2
363,1895,37.325,-77.175,2
364,1896,33.925,-77.975,2
365,1897,36.425,-78.975,2
366,1898,35.975,-77.725,2
367,1904,44.525,-70.575,2
369,1907,39.625,-75.525,2
373,1914,35.175,-94.625,2
374,1915,30.425,-81.625,2
375,1920,39.575,-78.725,2
384,1936,41.975,-91.675,2
385,1937,39.875,-88.875,2
386,1939,39.825,-88.925,2
