,place,lat,lon,fuel,cooling
8,1313,29.925,-90.125,3,5
10,1314,32.775,-92.075,3,5
11,1317,32.525,-93.775,3,5
30,1342,42.375,-71.125,3,5
32,1349,42.225,-70.925,3,5
33,1350,41.875,-71.075,3,5
62,1387,31.525,-89.325,3,5
83,1411,36.075,-115.075,3,5
87,1415,39.575,-119.525,3,5
93,1427,40.575,-75.175,3,5
94,1428,40.825,-74.075,3,5
95,1432,40.625,-74.175,3,5
109,1475,35.375,-78.025,3,5
111,1478,34.275,-77.975,3,5
134,1514,35.525,-97.175,3,5
141,1521,35.075,-98.225,3,5
143,1523,40.475,-80.025,3,5
157,1559,41.825,-71.375,3,5
174,1585,27.775,-97.375,3,5
175,1587,28.775,-97.025,3,5
178,1593,31.975,-106.425,3,5
182,1596,29.675,-94.925,3,5
184,1602,29.925,-95.525,3,5
214,1657,46.725,-122.975,3,5
221,1675,34.225,-118.425,3,5
248,1713,27.625,-82.325,3,5
249,1714,27.075,-80.575,3,5
261,1722,30.525,-88.625,3,5
264,1725,42.175,-72.475,3,5
275,1737,40.225,-104.875,3,5
299,1763,29.625,-81.625,3,5
320,1786,39.675,-75.525,3,5
323,1789,27.725,-81.975,2,5
324,1792,37.075,-94.625,3,5
325,1793,27.775,-81.875,3,5
326,1794,40.825,-73.075,3,5
327,1796,45.875,-119.675,3,5
329,1799,29.275,-98.375,3,5
330,1803,38.525,-121.425,3,5
331,1804,38.525,-121.475,3,5
339,1823,34.525,-98.325,3,5
341,1826,33.325,-111.775,3,5
343,1828,46.175,-123.175,3,5
350,1838,37.525,-77.425,3,5
352,1871,39.675,-104.975,3,5
353,1874,36.975,-121.525,3,5
355,1877,39.725,-75.525,3,5
357,1880,33.925,-118.425,3,5
358,1884,36.225,-121.125,3,5
359,1886,42.075,-71.475,3,5
360,1887,40.475,-74.375,3,5
361,1891,37.975,-121.975,3,5
362,1892,39.025,-121.725,3,5
368,1906,28.675,-96.575,3,5
370,1909,43.875,-75.475,3,5
371,1910,43.075,-76.225,3,5
372,1911,37.325,-77.225,3,5
376,1924,42.475,-73.775,3,5
377,1925,42.175,-72.525,3,5
378,1926,29.625,-95.075,3,5
380,1928,43.575,-84.175,3,5
381,1929,39.925,-75.125,3,5
382,1930,39.525,-107.725,3,5
383,1931,30.075,-93.725,3,5
387,1940,42.425,-73.225,3,5
388,1941,40.625,-74.225,3,5
389,1945,29.675,-95.025,3,5
390,1946,39.775,-75.425,3,5
391,1947,33.725,-95.575,3,5
392,1948,30.275,-97.725,3,5
393,1951,33.875,-98.575,3,5
394,1956,29.925,-90.375,3,5
395,1957,29.425,-94.825,3,5
398,1961,33.825,-118.225,3,5
399,1968,40.725,-74.125,3,5
404,1973,43.225,-73.775,3,5
405,1978,30.225,-93.275,3,5
407,1980,40.625,-74.125,3,5
408,1983,36.475,-77.675,3,5
409,1984,35.425,-97.625,3,5
410,1985,39.875,-75.175,3,5
411,1987,30.075,-94.075,3,5
412,1989,40.375,-104.675,3,5
413,1990,40.075,-104.825,3,5
414,1996,43.075,-75.625,3,5
416,2000,40.475,-74.325,3,5
418,2004,29.775,-95.075,3,5
419,2007,40.875,-74.125,3,5
420,2009,27.625,-81.975,3,5
421,2011,38.925,-92.325,3,5
422,2012,29.825,-93.975,3,5
425,2015,43.075,-76.075,3,5
426,2019,30.275,-91.175,3,5
428,2021,37.775,-77.425,3,5
429,2024,29.375,-94.725,3,5
430,2026,28.975,-95.375,3,5
431,2030,29.375,-94.775,3,5
432,2035,32.275,-101.425,3,5
434,2039,42.625,-73.775,3,5
437,2044,40.625,-73.775,3,5
439,2048,48.475,-122.575,3,5
440,2049,36.025,-115.025,3,5
442,2053,36.225,-114.875,3,5
443,2054,36.325,-114.925,3,5
444,2055,27.875,-81.825,3,5
445,2056,28.925,-81.675,3,5
446,2057,28.375,-82.175,3,5
447,2059,27.825,-81.875,3,5
448,2062,48.975,-122.275,3,5
449,2064,48.825,-122.675,3,5
450,2066,43.475,-76.425,3,5
451,2070,44.725,-73.475,3,5
452,2071,42.625,-71.325,3,5
453,2072,44.975,-74.875,3,5
454,2073,42.975,-78.175,3,5
456,2076,40.075,-74.125,3,5
457,2078,28.075,-81.825,3,5
458,2080,28.925,-95.375,3,5
460,2082,45.925,-119.375,3,5
461,2083,40.025,-75.225,3,5
462,2084,42.175,-71.525,3,5
463,2085,32.425,-97.425,3,5
464,2086,38.675,-76.875,3,5
465,2087,38.125,-78.225,3,5
466,2088,37.975,-122.075,3,5
467,2089,40.675,-73.925,3,5
468,2090,43.975,-86.475,3,5
469,2092,44.825,-92.925,3,5
470,2093,42.875,-88.725,3,5
471,2095,41.825,-71.125,3,5
472,2099,32.475,-83.625,3,5
473,2100,42.025,-72.675,3,5
474,2101,41.175,-73.125,3,5
475,2102,35.075,-81.575,3,5
476,2103,29.725,-95.125,3,5
478,2107,30.575,-95.925,3,5
479,2108,34.325,-89.925,3,5
480,2110,32.975,-102.775,3,5
481,2111,44.825,-68.725,3,5
482,2112,34.225,-91.875,3,5
485,2115,42.025,-71.975,3,5
486,2117,38.025,-122.175,3,5
487,2118,27.875,-97.275,3,5
488,2119,42.825,-85.975,3,5
489,2120,42.275,-83.125,3,5
491,2122,33.625,-95.575,3,5
492,2123,26.175,-98.375,3,5
493,2127,42.175,-121.825,3,5
494,2128,30.025,-93.725,3,5
495,2133,29.975,-93.775,3,5
496,2135,26.325,-98.225,3,5
497,2136,35.075,-114.125,3,5
498,2138,32.925,-111.825,3,5
499,2139,41.375,-88.225,3,5
500,2140,29.525,-97.875,3,5
502,2143,36.025,-95.925,3,5
504,2147,35.275,-119.575,3,5
505,2148,29.525,-97.925,3,5
506,2149,30.175,-97.275,3,5
507,2152,31.825,-97.325,3,5
508,2153,30.425,-92.425,3,5
509,2154,34.825,-114.575,3,5
510,2155,38.775,-94.275,3,5
511,2156,47.775,-116.925,3,5
512,2158,35.225,-119.575,3,5
513,2159,29.825,-95.075,3,5
514,2160,41.725,-90.275,3,5
515,2166,27.825,-97.425,3,5
516,2167,40.225,-103.625,3,5
518,2169,41.425,-88.325,3,5
519,2170,38.075,-121.875,3,5
520,2171,32.375,-90.225,3,5
521,2173,33.025,-89.875,3,5
522,2174,34.575,-92.175,3,5
523,2176,32.325,-96.675,3,5
524,2178,36.025,-95.725,3,5
525,2179,31.875,-96.125,3,5
526,2187,30.775,-88.025,3,5
527,2193,41.725,-87.475,3,5
528,2200,34.625,-87.025,3,5
529,2201,43.675,-70.375,3,5
530,2203,29.725,-95.175,3,5
531,2207,27.875,-97.225,3,5
532,2210,39.875,-75.325,3,5
533,2211,45.925,-119.325,3,5
534,2212,38.075,-121.825,3,5
535,2213,39.225,-88.825,3,5
536,2214,39.375,-87.525,3,5
537,2220,34.275,-92.925,3,5
538,2222,35.275,-97.575,3,5
539,2223,32.825,-92.075,3,5
540,2228,26.325,-98.175,3,5
541,2229,32.725,-92.025,3,5
542,2238,42.025,-71.575,3,5
543,2239,42.075,-71.625,3,5
544,2240,30.975,-87.975,3,5
546,2241,27.625,-81.925,3,5
563,2260,30.225,-97.625,3,5
567,2264,33.425,-112.175,3,5
576,2272,33.375,-111.925,3,5
578,2273,32.075,-109.875,3,5
586,2305,34.075,-117.275,3,5
587,2306,34.125,-118.275,3,5
590,2308,32.775,-115.525,3,5
593,2315,39.825,-104.925,3,5
604,2328,28.475,-81.175,3,5
612,2341,26.075,-80.225,3,5
613,2344,28.825,-81.325,3,5
615,2345,25.425,-80.325,3,5
621,2353,30.275,-85.675,3,5
624,2359,29.675,-82.325,3,5
627,2363,26.625,-80.075,3,5
628,2364,28.025,-81.925,3,5
630,2365,28.075,-81.925,3,5
633,2367,30.475,-84.425,3,5
667,2422,40.075,-85.975,3,5
669,2424,39.525,-87.425,2,5
672,2426,35.075,-78.875,3,5
687,2442,41.125,-94.375,3,5
704,2464,38.175,-85.875,3,5
713,72745,42.875,-71.475,3,5
714,72748,40.375,-76.375,3,5
715,72749,32.325,-97.725,3,5
717,72767,42.975,-85.475,3,5
718,72775,32.125,-106.875,3,5
719,72779,37.425,-121.925,3,5
721,72783,41.925,-72.625,3,5
724,72820,42.525,-78.075,3,5
725,72826,36.425,-114.875,3,5
729,72931,33.325,-112.925,3,5
733,72973,32.375,-86.575,3,5
735,73051,30.225,-97.525,3,5
736,73072,29.775,-94.825,3,5
740,73155,40.625,-75.325,3,5
744,73256,33.625,-114.675,3,5
748,73311,30.325,-81.925,3,5
749,73318,29.475,-95.575,3,5
755,73447,38.975,-78.125,3,5
757,73473,33.575,-88.325,3,5
761,73503,28.275,-81.525,3,5
762,73511,41.775,-72.675,3,5
764,73532,33.875,-118.175,3,5
765,73535,43.975,-75.625,3,5
766,73538,30.225,-91.075,3,5
767,73583,28.425,-81.575,3,5
768,73618,33.425,-84.975,3,5
771,73667,33.375,-89.225,3,5
772,73669,36.225,-95.225,3,5
773,73701,42.725,-85.875,3,5
781,73765,33.875,-80.975,3,5
784,73776,44.275,-88.275,3,5
786,73844,38.325,-121.125,3,5
787,73854,42.325,-86.275,3,5
789,73863,45.875,-119.725,3,5
793,73939,41.675,-71.025,3,5
796,73961,29.725,-95.075,3,5
798,73982,39.775,-76.275,3,5
802,74076,40.075,-81.975,3,5
804,74097,34.675,-84.925,3,5
807,74161,32.425,-94.675,3,5
811,74185,32.275,-81.275,3,5
813,74208,35.275,-119.475,3,5
814,74237,48.775,-122.475,3,5
815,74293,41.775,-71.475,3,5
818,74307,40.125,-74.775,3,5
819,74339,39.875,-79.925,3,5
821,74365,35.425,-93.775,3,5
822,74408,42.275,-70.925,3,5
823,74413,32.775,-96.475,3,5
825,74428,42.525,-73.775,3,5
826,74466,47.075,-122.225,3,5
827,74474,41.325,-83.125,3,5
829,74479,36.575,-120.125,3,5
831,74507,32.325,-86.525,3,5
833,74510,32.625,-85.075,3,5
835,74618,42.975,-115.275,3,5
836,74630,33.125,-117.075,3,5
841,74698,46.975,-123.475,3,5
842,74708,41.575,-93.525,3,5
845,74800,38.575,-82.775,3,5
846,74816,33.475,-113.125,3,5
848,74825,32.375,-94.425,3,5
854,74912,34.575,-117.325,3,5
855,74931,32.975,-85.875,3,5
860,74993,34.375,-92.875,3,5
864,75023,44.925,-94.375,3,5
865,75024,44.875,-94.325,3,5
867,75064,42.075,-78.475,3,5
868,75065,43.475,-76.475,3,5
870,75069,42.975,-78.925,3,5
872,75088,33.725,-117.175,3,5
873,75123,33.575,-101.775,3,5
876,75131,33.125,-97.975,3,5
877,75132,33.825,-84.475,3,5
878,75143,42.275,-84.375,3,5
880,75155,32.325,-81.125,3,5
882,75164,37.375,-121.925,3,5
883,75179,34.375,-82.825,3,5
889,75260,40.675,-74.275,3,5
891,75304,34.725,-95.925,3,5
892,75325,36.575,-119.575,3,5
895,75393,35.575,-89.475,3,5
897,75441,36.225,-115.125,3,5
899,75507,32.375,-86.725,3,5
900,75538,43.175,-78.725,3,5
901,75568,37.425,-121.975,3,5
902,75585,42.625,-71.375,3,5
903,75599,40.825,-75.075,3,5
904,75616,32.275,-107.775,3,5
907,75666,34.225,-118.325,3,5
908,75668,34.825,-89.175,3,5
915,75818,33.325,-112.875,3,5
917,75820,37.225,-121.725,3,5
918,75856,41.225,-73.125,3,5
922,75890,46.125,-122.975,3,5
924,75937,35.025,-117.725,3,5
926,75977,34.675,-87.075,3,5
930,76096,32.675,-117.125,3,5
931,76097,32.675,-117.175,3,5
932,76098,32.625,-117.125,3,5
936,76160,43.125,-70.825,3,5
937,76169,30.275,-93.725,3,5
942,76240,36.425,-95.675,3,5
944,76252,33.925,-118.125,3,5
945,76269,34.175,-119.075,3,5
946,76270,33.975,-117.675,3,5
947,76302,31.825,-102.325,3,5
949,76321,31.275,-87.975,3,5
950,76339,40.375,-75.925,3,5
951,76368,28.025,-81.825,3,5
952,76374,32.575,-116.975,3,5
953,76389,43.025,-78.875,3,5
954,76418,39.075,-84.825,3,5
955,76420,39.575,-81.725,3,5
959,76451,32.975,-112.675,3,5
960,76489,34.975,-118.825,3,5
961,76499,41.875,-71.425,3,5
970,76642,30.325,-91.225,3,5
973,76664,36.675,-97.025,3,5
974,76675,29.875,-93.875,3,5
977,76702,41.625,-87.175,3,5
983,76798,30.175,-93.325,3,5
987,76838,40.425,-74.375,3,5
988,76841,35.675,-97.225,3,5
990,76847,33.325,-112.825,3,5
992,76885,34.825,-79.925,3,5
997,76912,45.625,-122.725,3,5
999,76922,42.575,-89.025,3,5
1000,76973,40.075,-104.625,3,5
1001,76989,32.725,-114.675,3,5
1002,76997,40.025,-76.525,3,5
1007,77045,37.625,-121.025,3,5
1009,77057,33.075,-97.925,3,5
1013,77105,34.175,-90.575,3,5
1022,77269,39.575,-81.675,3,5
1023,77295,33.375,-85.025,3,5
1024,77296,33.325,-85.075,3,5
1031,77489,33.325,-92.525,3,5
1035,77569,40.725,-73.575,3,5
1037,77580,37.675,-121.525,3,5
1039,77622,27.725,-81.825,3,5
1041,77648,30.475,-88.175,3,5
1042,77670,37.725,-78.425,3,5
1043,77674,32.125,-94.175,3,5
1044,77675,32.325,-86.775,3,5
1046,77709,29.975,-90.425,3,5
1053,77879,36.575,-90.175,3,5
1054,77934,34.975,-90.025,3,5
1059,78045,42.625,-78.075,3,5
1061,78060,25.875,-97.525,3,5
1066,78177,30.575,-87.125,3,5
1069,78230,40.875,-96.575,3,5
1072,78306,42.575,-113.625,3,5
1073,78314,35.775,-80.525,3,5
1074,385508,40.575,-79.775,3,5
1075,385530,38.425,-121.525,3,5
1078,404924,42.575,-73.775,3,5
1079,405319,37.625,-122.075,3,5
1080,587518,44.325,-93.325,3,5
1081,587560,37.375,-121.975,3,5
1082,587567,33.975,-118.175,3,5
1083,587571,46.175,-123.125,3,5
1084,587613,40.325,-96.825,3,5
1085,587650,43.125,-93.325,3,5
1086,587651,41.825,-89.625,3,5
1087,587704,37.475,-120.925,3,5
1089,587756,42.675,-73.725,3,5
1090,587788,28.975,-95.425,3,5
1091,587800,43.075,-89.425,3,5
1092,587835,33.875,-117.625,3,5
1093,587898,29.325,-94.725,3,5
1094,587938,44.325,-88.175,3,5
1097,587994,36.675,-108.225,3,5
1098,587996,35.875,-89.725,3,5
1099,588007,32.425,-81.175,3,5
1101,588012,40.075,-111.725,3,5
1104,588110,37.725,-78.325,3,5
1106,588165,41.575,-72.625,3,5
1108,593927,41.925,-80.825,3,5
1111,606975,31.375,-86.525,3,5
1112,607160,33.125,-117.125,3,5
1115,608012,40.525,-74.325,1,5
1118,613326,44.175,-94.025,3,5
1121,626314,40.725,-73.475,3,5
1122,632007,40.325,-111.775,3,5
1123,632045,40.725,-73.375,3,5
1124,632047,40.825,-72.925,3,5
1125,632209,38.775,-121.375,3,5
1128,732864,36.675,-119.525,3,5
1129,732898,26.675,-80.375,3,5
1133,748853,27.375,-80.375,3,5
1138,841085,31.825,-102.275,3,5
1139,849342,29.225,-96.075,3,5
1141,856045,39.375,-122.175,3,5
1142,871146,32.725,-100.925,3,5
1145,875399,38.625,-90.175,3,5
1147,883620,32.625,-88.775,2,5
1148,884383,38.075,-121.775,3,5
1150,891963,38.075,-121.525,3,5
1154,922140,44.425,-96.675,3,5
1155,1123030,31.125,-97.325,3,5
1156,1124417,39.875,-75.225,3,5
1158,1133698,33.775,-96.525,3,5
1163,1168279,43.925,-116.975,3,5
1167,1196724,38.325,-104.525,3,5
1170,1502940,40.675,-74.125,3,5
1171,1503622,40.475,-74.425,3,5
1172,1573104,41.125,-104.725,3,5
1176,1648419,39.075,-75.425,3,5
1180,1995460,42.675,-84.525,3,5
