,Unnamed: 0,place,lat,lon,cooling,fuel,f,c
0,90,1418,43.075,-70.725,1,1,,
1,364,1896,33.925,-77.975,2,1,,
2,365,1897,36.425,-78.975,2,1,,
3,367,1904,44.525,-70.575,2,1,,
4,396,1959,35.875,-76.775,1,1,,
5,397,1960,43.075,-79.025,2,1,,
6,400,1970,32.075,-81.075,2,1,,
7,403,1971,30.725,-88.025,1,1,,
8,417,2002,34.125,-79.525,2,1,,
9,438,2046,37.925,-121.325,1,1,,
10,455,2074,35.575,-119.025,2,1,,
11,606,2330,44.475,-73.175,2,1,,
12,720,72780,30.225,-93.125,2,1,,
13,722,72793,31.575,-87.525,2,1,,
14,726,72862,37.125,-79.275,2,1,,
15,730,72938,46.775,-67.825,2,1,,
16,737,73085,46.625,-68.425,2,1,,
17,738,73093,44.425,-70.175,2,1,,
18,742,73195,42.475,-122.875,2,1,,
19,743,73215,44.025,-75.775,2,1,,
20,746,73276,45.175,-70.425,2,1,,
21,750,73332,43.625,-71.725,2,1,,
22,753,73408,40.975,-121.625,2,1,,
23,756,73458,44.275,-85.425,2,1,,
24,777,73720,42.925,-123.325,2,1,,
25,778,73721,44.475,-118.725,2,1,,
26,782,73770,33.425,-88.425,2,1,,
27,788,73855,37.775,-79.975,1,1,,
28,790,73867,35.125,-77.075,2,1,,
29,795,73950,30.825,-93.225,2,1,,
30,797,73974,35.725,-119.225,2,1,,
31,808,74166,33.875,-80.625,2,1,,
32,817,74306,40.775,-124.175,2,1,,
33,828,74475,43.825,-91.275,2,1,,
34,834,74573,43.075,-83.675,2,1,,
35,840,74695,44.575,-84.675,2,1,,
36,843,74761,40.275,-120.275,2,1,,
37,850,74886,43.425,-72.075,2,1,,
38,852,74906,47.425,-92.925,2,1,,
39,856,74936,45.075,-83.875,2,1,,
40,859,74986,37.325,-77.275,2,1,,
41,861,75003,40.475,-122.275,2,1,,
42,866,75061,44.725,-67.525,2,1,,
43,869,75068,45.225,-68.625,2,1,,
44,885,75187,46.775,-88.475,2,1,,
45,888,75258,34.975,-77.975,2,1,,
46,890,75292,48.625,-118.125,2,1,,
47,905,75628,43.625,-75.325,2,1,,
48,906,75632,46.725,-92.125,1,1,,
49,912,75775,32.175,-85.025,2,1,,
50,913,75780,33.575,-116.125,2,1,,
51,914,75796,36.775,-120.375,2,1,,
52,916,75819,32.925,-115.525,2,1,,
53,928,76008,40.275,-121.025,2,1,,
54,929,76017,37.125,-79.325,2,1,,
55,948,76312,26.575,-80.775,2,1,,
56,956,76426,39.475,-121.575,2,1,,
57,966,76598,42.575,-71.875,2,1,,
58,967,76599,44.325,-71.725,2,1,,
59,968,76600,43.775,-71.175,2,1,,
60,971,76650,47.325,-116.875,2,1,,
61,975,76681,30.625,-91.275,2,1,,
62,984,76800,34.975,-83.375,2,1,,
63,985,76820,47.175,-93.475,1,1,,
64,986,76820,47.175,-93.475,2,1,,
65,993,76886,28.025,-81.875,2,1,,
66,994,76899,36.725,-119.475,2,1,,
67,996,76903,38.825,-121.325,2,1,,
68,1005,77030,44.675,-67.975,2,1,,
69,1006,77043,38.725,-121.725,2,1,,
70,1025,77325,39.075,-122.125,3,1,,
71,1029,77364,44.225,-85.225,2,1,,
72,1030,77365,44.675,-83.425,2,1,,
73,1032,77503,37.875,-120.475,2,1,,
74,1033,77504,40.875,-123.975,2,1,,
75,1038,77581,37.725,-121.525,2,1,,
76,1045,77698,44.975,-116.275,2,1,,
77,1051,77820,31.775,-94.925,2,1,,
78,1055,77935,36.675,-77.025,2,1,,
79,1057,77977,44.675,-69.625,1,1,,
80,1062,78103,40.425,-122.175,2,1,,
81,1065,78169,41.525,-84.275,2,1,,
82,1071,78293,44.225,-72.075,2,1,,
83,1088,587724,44.825,-93.525,2,1,,
84,1100,588008,38.275,-120.925,2,1,,
85,1103,588093,45.325,-95.625,2,1,,
86,1105,588164,34.125,-109.275,2,1,,
87,1114,607274,34.475,-91.525,2,1,,
88,1115,608012,40.525,-74.325,5,1,,
89,1116,609597,44.925,-93.175,2,1,,
90,1131,737634,34.525,-110.075,2,1,,
91,1140,850144,41.725,-71.925,2,1,,
92,1149,891923,44.475,-71.175,2,1,,
93,1151,911906,37.175,-120.475,2,1,,
94,1152,912854,31.425,-94.525,2,1,,
95,1160,1143769,33.075,-84.125,2,1,,
96,1161,1144030,47.275,-122.425,2,1,,
97,1162,1161596,37.125,-120.275,2,1,,
98,1164,1173151,29.775,-82.375,2,1,,
99,1166,1181214,33.275,-81.675,2,1,,
100,1173,1574461,32.525,-82.875,2,1,,
101,1175,1585142,36.675,-78.875,2,1,,
102,1181,1997368,31.875,-93.175,2,1,,
