,place,lat,lon,fuel,dischargefile,cooling
0,1305,36.975,-84.575,2,639_1068.tsv,1
1,1306,37.875,-84.225,2,657_1075.tsv,1
4,1308,30.325,-93.275,2,506_894.tsv,2
17,1327,39.275,-76.225,2,685_1235.tsv,1
19,1329,39.075,-76.375,2,681_1232.tsv,2
21,1329,39.075,-76.375,2,681_1232.tsv,1
24,1336,38.475,-76.625,2,669_1227.tsv,1
26,1337,39.225,-77.475,2,684_1210.tsv,1
27,1338,38.325,-76.975,2,666_1220.tsv,1
35,1352,43.675,-83.825,2,773_1083.tsv,1
37,1354,43.625,-83.875,2,772_1082.tsv,1
38,1360,42.225,-83.125,2,744_1097.tsv,1
40,1361,42.725,-82.475,2,754_1110.tsv,1
41,1362,42.075,-83.125,2,741_1097.tsv,1
42,1363,46.575,-87.425,2,831_1011.tsv,2
43,1365,43.075,-86.225,2,761_1035.tsv,1
44,1367,42.775,-84.625,2,755_1067.tsv,1
45,1368,42.675,-84.625,2,753_1067.tsv,2
46,1370,46.475,-87.425,2,829_1011.tsv,2
47,1371,42.175,-83.125,2,743_1097.tsv,1
49,1374,47.275,-93.625,2,845_887.tsv,2
52,1377,45.025,-92.775,2,800_904.tsv,1
57,1383,30.425,-89.025,2,508_979.tsv,2
59,1383,30.425,-89.025,2,508_979.tsv,1
64,1388,37.375,-94.575,2,647_868.tsv,2
65,1389,39.125,-94.475,2,682_870.tsv,1
67,1390,38.325,-93.925,2,666_881.tsv,2
68,1392,39.175,-94.175,2,683_876.tsv,1
69,1393,39.725,-94.925,2,694_861.tsv,1
71,1394,38.575,-90.825,2,671_943.tsv,1
72,1395,38.425,-90.325,2,668_953.tsv,1
73,1396,38.925,-90.275,2,678_954.tsv,1
74,1397,38.975,-92.275,2,679_914.tsv,2
75,1398,39.075,-94.325,2,681_873.tsv,2
76,1399,37.075,-93.275,2,641_894.tsv,2
77,1400,36.475,-89.525,2,629_969.tsv,1
79,1406,41.425,-96.475,2,728_830.tsv,2
80,1408,40.575,-96.775,2,711_824.tsv,2
81,1410,41.325,-95.925,2,726_841.tsv,1
82,1410,41.325,-95.925,2,726_841.tsv,2
84,1412,36.675,-114.625,2,633_467.tsv,2
88,1417,43.125,-71.475,2,762_1330.tsv,1
89,1418,43.075,-70.725,2,761_1345.tsv,1
91,1419,39.275,-74.625,2,685_1267.tsv,2
96,1433,40.175,-74.725,2,703_1265.tsv,1
97,1436,36.725,-108.475,2,634_590.tsv,2
101,1442,36.725,-108.425,2,634_591.tsv,2
103,1445,41.625,-73.975,2,732_1280.tsv,1
108,1472,35.475,-82.575,2,609_1108.tsv,2
110,1477,36.475,-79.075,2,629_1178.tsv,2
112,1480,35.175,-81.025,2,603_1139.tsv,2
114,1482,35.225,-81.775,2,604_1124.tsv,2
116,1486,46.875,-100.875,2,837_742.tsv,2
117,1487,47.275,-101.325,2,845_733.tsv,2
118,1487,47.275,-101.325,2,845_733.tsv,1
119,1488,47.075,-101.225,2,841_735.tsv,2
120,1489,47.325,-101.375,2,846_732.tsv,1
121,1490,40.225,-80.675,2,704_1146.tsv,2
122,1492,39.125,-84.775,2,682_1064.tsv,2
123,1492,39.125,-84.775,2,682_1064.tsv,1
124,1497,40.175,-81.925,2,703_1121.tsv,2
125,1500,38.625,-83.675,2,672_1086.tsv,1
126,1500,38.625,-83.675,2,672_1086.tsv,2
127,1504,40.525,-80.625,2,710_1147.tsv,1
128,1507,38.925,-82.125,2,678_1117.tsv,1
129,1510,39.425,-84.525,2,688_1069.tsv,1
131,1511,40.825,-81.775,2,716_1124.tsv,2
132,1512,41.725,-81.225,2,734_1135.tsv,2
135,1515,35.775,-95.275,2,615_854.tsv,2
145,1528,40.925,-75.075,2,718_1258.tsv,1
146,1531,40.375,-79.125,2,707_1177.tsv,2
147,1533,40.475,-79.175,2,709_1176.tsv,2
148,1534,40.375,-79.075,2,707_1178.tsv,2
149,1538,40.625,-79.375,2,712_1172.tsv,2
150,1539,40.925,-80.375,2,718_1152.tsv,1
151,1541,40.125,-76.675,2,702_1226.tsv,1
153,1545,40.975,-76.625,2,719_1227.tsv,2
155,1546,40.825,-76.825,2,716_1223.tsv,1
163,1567,33.425,-81.925,2,568_1121.tsv,1
164,1568,33.825,-80.625,2,576_1147.tsv,1
165,1568,33.825,-80.625,2,576_1147.tsv,2
166,1569,33.025,-79.925,2,560_1161.tsv,1
167,1573,35.075,-90.175,2,601_956.tsv,1
168,1574,36.025,-84.175,2,620_1076.tsv,1
169,1575,36.425,-87.675,2,628_1006.tsv,1
170,1576,36.325,-86.425,2,626_1031.tsv,1
172,1578,36.025,-87.975,2,620_1000.tsv,1
173,1579,35.875,-84.525,2,617_1069.tsv,1
185,1603,29.475,-95.675,2,489_846.tsv,2
195,1619,31.825,-96.075,2,536_838.tsv,2
204,1649,36.925,-82.225,2,638_1115.tsv,2
206,1652,37.725,-78.275,2,654_1194.tsv,1
207,1653,37.375,-77.375,2,647_1212.tsv,1
212,1656,37.225,-76.125,2,644_1237.tsv,1
215,1657,46.725,-122.975,2,834_300.tsv,2
216,1660,38.475,-81.825,2,669_1123.tsv,2
217,1664,39.675,-79.975,2,693_1160.tsv,2
218,1665,39.425,-80.275,2,688_1154.tsv,2
219,1669,39.825,-80.825,2,696_1143.tsv,2
220,1670,39.225,-79.275,2,684_1174.tsv,2
222,1681,44.825,-89.675,2,796_966.tsv,2
