,Unnamed: 0,Unnamed: 0.1,place,cooling,lon,fuel,lat,state,dischargefile,f,c
0,0,0,1305,1,-84.575,2,36.975,KY,639_1068.tsv,Coal,ST-OT
1,1,1,1306,1,-84.225,2,37.875,KY,657_1075.tsv,Coal,ST-OT
2,2,4,1308,2,-93.275,2,30.325,LA,506_894.tsv,Coal,ST-RC
3,3,17,1327,1,-76.225,2,39.275,MD,685_1235.tsv,Coal,ST-OT
4,4,19,1329,2,-76.375,2,39.075,MD,681_1232.tsv,Coal,ST-RC
5,5,21,1329,1,-76.375,2,39.075,MD,681_1232.tsv,Coal,ST-OT
6,6,24,1336,1,-76.625,2,38.475,MD,669_1227.tsv,Coal,ST-OT
7,7,26,1337,1,-77.475,2,39.225,MD,684_1210.tsv,Coal,ST-OT
8,8,27,1338,1,-76.975,2,38.325,MD,666_1220.tsv,Coal,ST-OT
9,9,35,1352,1,-83.825,2,43.675,MI,773_1083.tsv,Coal,ST-OT
10,10,37,1354,1,-83.875,2,43.625,MI,772_1082.tsv,Coal,ST-OT
11,11,38,1360,1,-83.125,2,42.225,MI,744_1097.tsv,Coal,ST-OT
12,12,40,1361,1,-82.475,2,42.725,MI,754_1110.tsv,Coal,ST-OT
13,13,41,1362,1,-83.125,2,42.075,MI,741_1097.tsv,Coal,ST-OT
14,14,42,1363,2,-87.425,2,46.575,MI,831_1011.tsv,Coal,ST-RC
15,15,43,1365,1,-86.225,2,43.075,MI,761_1035.tsv,Coal,ST-OT
16,16,44,1367,1,-84.625,2,42.775,MI,755_1067.tsv,Coal,ST-OT
17,17,45,1368,2,-84.625,2,42.675,MI,753_1067.tsv,Coal,ST-RC
18,18,46,1370,2,-87.425,2,46.475,MI,829_1011.tsv,Coal,ST-RC
19,19,47,1371,1,-83.125,2,42.175,MI,743_1097.tsv,Coal,ST-OT
20,20,49,1374,2,-93.625,2,47.275,MN,845_887.tsv,Coal,ST-RC
21,21,52,1377,1,-92.775,2,45.025,MN,800_904.tsv,Coal,ST-OT
22,22,57,1383,2,-89.025,2,30.425,MS,508_979.tsv,Coal,ST-RC
23,23,59,1383,1,-89.025,2,30.425,MS,508_979.tsv,Coal,ST-OT
24,24,64,1388,2,-94.575,2,37.375,MO,647_868.tsv,Coal,ST-RC
25,25,65,1389,1,-94.475,2,39.125,MO,682_870.tsv,Coal,ST-OT
26,26,67,1390,2,-93.925,2,38.325,MO,666_881.tsv,Coal,ST-RC
27,27,68,1392,1,-94.175,2,39.175,MO,683_876.tsv,Coal,ST-OT
28,28,69,1393,1,-94.925,2,39.725,MO,694_861.tsv,Coal,ST-OT
29,29,71,1394,1,-90.825,2,38.575,MO,671_943.tsv,Coal,ST-OT
30,30,72,1395,1,-90.325,2,38.425,MO,668_953.tsv,Coal,ST-OT
31,31,73,1396,1,-90.275,2,38.925,MO,678_954.tsv,Coal,ST-OT
32,32,74,1397,2,-92.275,2,38.975,MO,679_914.tsv,Coal,ST-RC
33,33,75,1398,2,-94.325,2,39.075,MO,681_873.tsv,Coal,ST-RC
34,34,76,1399,2,-93.275,2,37.075,MO,641_894.tsv,Coal,ST-RC
35,35,77,1400,1,-89.525,2,36.475,MO,629_969.tsv,Coal,ST-OT
36,36,79,1406,2,-96.475,2,41.425,NE,728_830.tsv,Coal,ST-RC
37,37,80,1408,2,-96.775,2,40.575,NE,711_824.tsv,Coal,ST-RC
38,38,81,1410,1,-95.925,2,41.325,NE,726_841.tsv,Coal,ST-OT
39,39,82,1410,2,-95.925,2,41.325,NE,726_841.tsv,Coal,ST-RC
40,40,84,1412,2,-114.625,2,36.675,NV,633_467.tsv,Coal,ST-RC
41,41,88,1417,1,-71.475,2,43.125,NH,762_1330.tsv,Coal,ST-OT
42,42,89,1418,1,-70.725,2,43.075,NH,761_1345.tsv,Coal,ST-OT
43,43,91,1419,2,-74.625,2,39.275,NJ,685_1267.tsv,Coal,ST-RC
44,44,96,1433,1,-74.725,2,40.175,NJ,703_1265.tsv,Coal,ST-OT
45,45,97,1436,2,-108.475,2,36.725,NM,634_590.tsv,Coal,ST-RC
46,46,101,1442,2,-108.425,2,36.725,NM,634_591.tsv,Coal,ST-RC
47,47,103,1445,1,-73.975,2,41.625,NY,732_1280.tsv,Coal,ST-OT
48,48,108,1472,2,-82.575,2,35.475,NC,609_1108.tsv,Coal,ST-RC
49,49,110,1477,2,-79.075,2,36.475,NC,629_1178.tsv,Coal,ST-RC
50,50,112,1480,2,-81.025,2,35.175,NC,603_1139.tsv,Coal,ST-RC
51,51,114,1482,2,-81.775,2,35.225,NC,604_1124.tsv,Coal,ST-RC
52,52,116,1486,2,-100.875,2,46.875,ND,837_742.tsv,Coal,ST-RC
53,53,117,1487,2,-101.325,2,47.275,ND,845_733.tsv,Coal,ST-RC
54,54,118,1487,1,-101.325,2,47.275,ND,845_733.tsv,Coal,ST-OT
55,55,119,1488,2,-101.225,2,47.075,ND,841_735.tsv,Coal,ST-RC
56,56,120,1489,1,-101.375,2,47.325,ND,846_732.tsv,Coal,ST-OT
57,57,121,1490,2,-80.675,2,40.225,OH,704_1146.tsv,Coal,ST-RC
58,58,122,1492,2,-84.775,2,39.125,OH,682_1064.tsv,Coal,ST-RC
59,59,123,1492,1,-84.775,2,39.125,OH,682_1064.tsv,Coal,ST-OT
