,place,lat,lon,cooling,fuel
90,1418,43.075,-70.725,1,1
364,1896,33.925,-77.975,2,1
365,1897,36.425,-78.975,2,1
367,1904,44.525,-70.575,2,1
396,1959,35.875,-76.775,1,1
397,1960,43.075,-79.025,2,1
400,1970,32.075,-81.075,2,1
403,1971,30.725,-88.025,1,1
417,2002,34.125,-79.525,2,1
438,2046,37.925,-121.325,1,1
455,2074,35.575,-119.025,2,1
606,2330,44.475,-73.175,2,1
720,72780,30.225,-93.125,2,1
722,72793,31.575,-87.525,2,1
726,72862,37.125,-79.275,2,1
730,72938,46.775,-67.825,2,1
737,73085,46.625,-68.425,2,1
738,73093,44.425,-70.175,2,1
742,73195,42.475,-122.875,2,1
743,73215,44.025,-75.775,2,1
746,73276,45.175,-70.425,2,1
750,73332,43.625,-71.725,2,1
753,73408,40.975,-121.625,2,1
756,73458,44.275,-85.425,2,1
777,73720,42.925,-123.325,2,1
778,73721,44.475,-118.725,2,1
782,73770,33.425,-88.425,2,1
788,73855,37.775,-79.975,1,1
790,73867,35.125,-77.075,2,1
795,73950,30.825,-93.225,2,1
797,73974,35.725,-119.225,2,1
808,74166,33.875,-80.625,2,1
817,74306,40.775,-124.175,2,1
828,74475,43.825,-91.275,2,1
834,74573,43.075,-83.675,2,1
840,74695,44.575,-84.675,2,1
843,74761,40.275,-120.275,2,1
850,74886,43.425,-72.075,2,1
852,74906,47.425,-92.925,2,1
856,74936,45.075,-83.875,2,1
859,74986,37.325,-77.275,2,1
861,75003,40.475,-122.275,2,1
866,75061,44.725,-67.525,2,1
869,75068,45.225,-68.625,2,1
885,75187,46.775,-88.475,2,1
888,75258,34.975,-77.975,2,1
890,75292,48.625,-118.125,2,1
905,75628,43.625,-75.325,2,1
906,75632,46.725,-92.125,1,1
912,75775,32.175,-85.025,2,1
913,75780,33.575,-116.125,2,1
914,75796,36.775,-120.375,2,1
916,75819,32.925,-115.525,2,1
928,76008,40.275,-121.025,2,1
929,76017,37.125,-79.325,2,1
948,76312,26.575,-80.775,2,1
956,76426,39.475,-121.575,2,1
966,76598,42.575,-71.875,2,1
967,76599,44.325,-71.725,2,1
968,76600,43.775,-71.175,2,1
971,76650,47.325,-116.875,2,1
975,76681,30.625,-91.275,2,1
984,76800,34.975,-83.375,2,1
985,76820,47.175,-93.475,1,1
986,76820,47.175,-93.475,2,1
993,76886,28.025,-81.875,2,1
994,76899,36.725,-119.475,2,1
996,76903,38.825,-121.325,2,1
1005,77030,44.675,-67.975,2,1
1006,77043,38.725,-121.725,2,1
1025,77325,39.075,-122.125,3,1
1029,77364,44.225,-85.225,2,1
1030,77365,44.675,-83.425,2,1
1032,77503,37.875,-120.475,2,1
1033,77504,40.875,-123.975,2,1
1038,77581,37.725,-121.525,2,1
1045,77698,44.975,-116.275,2,1
1051,77820,31.775,-94.925,2,1
1055,77935,36.675,-77.025,2,1
1057,77977,44.675,-69.625,1,1
1062,78103,40.425,-122.175,2,1
1065,78169,41.525,-84.275,2,1
1071,78293,44.225,-72.075,2,1
1088,587724,44.825,-93.525,2,1
1100,588008,38.275,-120.925,2,1
1103,588093,45.325,-95.625,2,1
1105,588164,34.125,-109.275,2,1
1114,607274,34.475,-91.525,2,1
1115,608012,40.525,-74.325,5,1
1116,609597,44.925,-93.175,2,1
1131,737634,34.525,-110.075,2,1
1140,850144,41.725,-71.925,2,1
1149,891923,44.475,-71.175,2,1
1151,911906,37.175,-120.475,2,1
1152,912854,31.425,-94.525,2,1
1160,1143769,33.075,-84.125,2,1
1161,1144030,47.275,-122.425,2,1
1162,1161596,37.125,-120.275,2,1
1164,1173151,29.775,-82.375,2,1
1166,1181214,33.275,-81.675,2,1
1173,1574461,32.525,-82.875,2,1
1175,1585142,36.675,-78.875,2,1
1181,1997368,31.875,-93.175,2,1
