,place,lat,lon,fuel,dischargefile,cooling
2,1307,30.425,-91.225,5,508_935.tsv,2
3,1308,30.325,-93.275,5,506_894.tsv,2
5,1309,30.225,-91.125,5,504_937.tsv,1
7,1312,30.025,-90.525,5,500_949.tsv,1
9,1313,29.925,-90.125,5,498_957.tsv,1
12,1317,32.525,-93.775,5,550_884.tsv,1
13,1319,29.575,-90.625,5,491_947.tsv,2
14,1320,30.225,-92.025,5,504_919.tsv,2
15,1322,29.725,-91.225,5,494_935.tsv,2
16,1324,30.675,-91.325,5,513_933.tsv,2
18,1328,39.175,-76.425,5,683_1231.tsv,1
20,1329,39.075,-76.375,5,681_1232.tsv,1
22,1332,39.125,-76.375,5,682_1232.tsv,1
23,1334,38.425,-75.825,5,668_1243.tsv,1
25,1336,38.475,-76.625,5,669_1227.tsv,2
29,1339,42.375,-71.075,5,747_1338.tsv,1
31,1348,42.075,-72.625,5,741_1307.tsv,1
34,1350,41.875,-71.075,5,737_1338.tsv,1
36,1352,43.675,-83.825,5,773_1083.tsv,2
39,1360,42.225,-83.125,5,744_1097.tsv,1
48,1371,42.175,-83.125,5,743_1097.tsv,1
53,1378,36.025,-95.975,5,620_840.tsv,2
54,1380,44.025,-92.475,5,780_910.tsv,2
55,1382,32.275,-88.725,5,545_985.tsv,2
56,1383,30.425,-89.025,5,508_979.tsv,1
58,1383,30.425,-89.025,5,508_979.tsv,2
60,1384,32.275,-90.975,5,545_940.tsv,2
61,1386,32.275,-90.175,5,545_956.tsv,2
63,1387,31.525,-89.325,5,530_973.tsv,2
70,1393,39.725,-94.925,5,694_861.tsv,2
78,1405,40.675,-99.675,5,713_766.tsv,1
85,1414,39.125,-119.125,5,682_377.tsv,2
86,1415,39.575,-119.525,5,691_369.tsv,2
92,1419,39.275,-74.625,5,685_1267.tsv,2
98,1437,31.825,-106.575,5,536_628.tsv,2
99,1439,32.725,-103.325,5,554_693.tsv,2
100,1441,35.175,-106.625,5,603_627.tsv,2
102,1444,32.725,-103.375,5,554_692.tsv,2
104,1445,41.625,-73.975,5,732_1280.tsv,1
106,1467,41.225,-73.925,5,724_1281.tsv,1
107,1471,42.125,-79.225,5,742_1175.tsv,2
130,1510,39.425,-84.525,5,688_1069.tsv,1
133,1514,35.525,-97.175,5,610_816.tsv,2
