,place,lon,lat,cooling,fuel,state,f,c,idc
0,1306,-84.225,37.875,1,2,KY,Coal,ST-OT,3
16,1327,-76.225,39.275,1,2,MD,Coal,ST-OT,3
17,1328,-76.425,39.175,1,5,MD,Oil,ST-OT,3
18,1329,-76.375,39.075,2,2,MD,Coal,ST-RC,3
19,1329,-76.375,39.075,1,5,MD,Oil,ST-OT,3
20,1329,-76.375,39.075,1,2,MD,Coal,ST-OT,3
21,1332,-76.375,39.125,1,5,MD,Oil,ST-OT,3
25,1337,-77.475,39.225,1,2,MD,Coal,ST-OT,3
26,1338,-76.975,38.325,1,2,MD,Coal,ST-OT,3
27,1339,-71.075,42.375,6,3,MA,Gas,CC-DC,3
28,1339,-71.075,42.375,1,5,MA,Oil,ST-OT,3
66,1390,-93.925,38.325,2,2,MO,Coal,ST-RC,3
68,1393,-94.925,39.725,1,2,MO,Coal,ST-OT,3
69,1393,-94.925,39.725,2,5,MO,Oil,ST-RC,3
70,1394,-90.825,38.575,1,2,MO,Coal,ST-OT,3
71,1395,-90.325,38.425,1,2,MO,Coal,ST-OT,3
72,1396,-90.275,38.925,1,2,MO,Coal,ST-OT,3
73,1397,-92.275,38.975,2,2,MO,Coal,ST-RC,3
74,1398,-94.325,39.075,2,2,MO,Coal,ST-RC,3
76,1400,-89.525,36.475,1,2,MO,Coal,ST-OT,3
90,1419,-74.625,39.275,2,2,NJ,Coal,ST-RC,3
91,1419,-74.625,39.275,2,5,NJ,Oil,ST-RC,3
92,1427,-75.175,40.575,5,3,NJ,Gas,CC-RC,3
93,1428,-74.075,40.825,5,3,NJ,Gas,CC-RC,3
94,1432,-74.175,40.625,5,3,NJ,Gas,CC-RC,3
97,1437,-106.575,31.825,2,5,NM,Oil,ST-RC,3
98,1439,-103.325,32.725,2,5,NM,Oil,ST-RC,3
101,1444,-103.375,32.725,2,5,NM,Oil,ST-RC,3
105,1467,-73.925,41.225,1,5,NY,Oil,ST-OT,3
112,1481,-80.375,35.725,4,3,NC,Gas,CC-OT,3
120,1490,-80.675,40.225,2,2,OH,Coal,ST-RC,3
121,1492,-84.775,39.125,2,2,OH,Coal,ST-RC,3
122,1492,-84.775,39.125,1,2,OH,Coal,ST-OT,3
123,1497,-81.925,40.175,2,2,OH,Coal,ST-RC,3
126,1504,-80.625,40.525,1,2,OH,Coal,ST-OT,3
