,place,lon,lat,cooling,fuel,state,f,c,idc
0,1306,-84.225,37.875,1,2,KY,Coal,ST-OT,2
1,1307,-91.225,30.425,2,5,LA,Oil,ST-RC,0
2,1308,-93.275,30.325,2,5,LA,Oil,ST-RC,8
3,1308,-93.275,30.325,2,2,LA,Coal,ST-RC,8
4,1309,-91.125,30.225,1,5,LA,Oil,ST-OT,6
5,1310,-92.175,30.825,4,3,LA,Gas,CC-OT,7
6,1312,-90.525,30.025,1,5,LA,Oil,ST-OT,6
7,1313,-90.125,29.925,5,3,LA,Gas,CC-RC,6
8,1313,-90.125,29.925,1,5,LA,Oil,ST-OT,6
9,1314,-92.075,32.775,5,3,LA,Gas,CC-RC,6
10,1317,-93.775,32.525,5,3,LA,Gas,CC-RC,8
11,1317,-93.775,32.525,1,5,LA,Oil,ST-OT,8
12,1319,-90.625,29.575,2,5,LA,Oil,ST-RC,8
13,1320,-92.025,30.225,2,5,LA,Oil,ST-RC,0
14,1322,-91.225,29.725,2,5,LA,Oil,ST-RC,0
15,1324,-91.325,30.675,2,5,LA,Oil,ST-RC,0
16,1327,-76.225,39.275,1,2,MD,Coal,ST-OT,5
17,1328,-76.425,39.175,1,5,MD,Oil,ST-OT,2
18,1329,-76.375,39.075,2,2,MD,Coal,ST-RC,5
19,1329,-76.375,39.075,1,5,MD,Oil,ST-OT,5
20,1329,-76.375,39.075,1,2,MD,Coal,ST-OT,5
21,1332,-76.375,39.125,1,5,MD,Oil,ST-OT,5
22,1334,-75.825,38.425,1,5,MD,Oil,ST-OT,2
23,1336,-76.625,38.475,1,2,MD,Coal,ST-OT,3
24,1336,-76.625,38.475,2,5,MD,Oil,ST-RC,3
25,1337,-77.475,39.225,1,2,MD,Coal,ST-OT,2
26,1338,-76.975,38.325,1,2,MD,Coal,ST-OT,2
27,1339,-71.075,42.375,6,3,MA,Gas,CC-DC,3
28,1339,-71.075,42.375,1,5,MA,Oil,ST-OT,3
29,1342,-71.125,42.375,5,3,MA,Gas,CC-RC,5
30,1348,-72.625,42.075,1,5,MA,Oil,ST-OT,1
31,1349,-70.925,42.225,5,3,MA,Gas,CC-RC,5
32,1350,-71.075,41.875,5,3,MA,Gas,CC-RC,1
33,1350,-71.075,41.875,1,5,MA,Oil,ST-OT,1
34,1352,-83.825,43.675,1,2,MI,Coal,ST-OT,1
35,1352,-83.825,43.675,2,5,MI,Oil,ST-RC,1
36,1354,-83.875,43.625,1,2,MI,Coal,ST-OT,1
37,1360,-83.125,42.225,1,2,MI,Coal,ST-OT,1
38,1360,-83.125,42.225,1,5,MI,Oil,ST-OT,1
39,1361,-82.475,42.725,1,2,MI,Coal,ST-OT,1
40,1362,-83.125,42.075,1,2,MI,Coal,ST-OT,1
41,1363,-87.425,46.575,2,2,MI,Coal,ST-RC,4
42,1365,-86.225,43.075,1,2,MI,Coal,ST-OT,1
43,1367,-84.625,42.775,1,2,MI,Coal,ST-OT,6
44,1368,-84.625,42.675,2,2,MI,Coal,ST-RC,1
45,1370,-87.425,46.475,2,2,MI,Coal,ST-RC,4
46,1371,-83.125,42.175,1,2,MI,Coal,ST-OT,1
47,1371,-83.125,42.175,1,5,MI,Oil,ST-OT,1
48,1374,-93.625,47.275,2,2,MN,Coal,ST-RC,4
49,1375,-93.225,44.825,4,3,MN,Gas,CC-OT,1
50,1376,-93.125,44.925,4,3,MN,Gas,CC-OT,1
51,1377,-92.775,45.025,1,2,MN,Coal,ST-OT,1
52,1378,-95.975,36.025,2,5,OK,Oil,ST-RC,2
53,1380,-92.475,44.025,2,5,MN,Oil,ST-RC,1
54,1382,-88.725,32.275,2,5,MS,Oil,ST-RC,0
55,1383,-89.025,30.425,1,5,MS,Oil,ST-OT,8
56,1383,-89.025,30.425,2,2,MS,Coal,ST-RC,8
57,1383,-89.025,30.425,2,5,MS,Oil,ST-RC,8
58,1383,-89.025,30.425,1,2,MS,Coal,ST-OT,8
59,1384,-90.975,32.275,2,5,MS,Oil,ST-RC,0
60,1386,-90.175,32.275,2,5,MS,Oil,ST-RC,0
61,1387,-89.325,31.525,5,3,MS,Gas,CC-RC,0
62,1387,-89.325,31.525,2,5,MS,Oil,ST-RC,0
63,1388,-94.575,37.375,2,2,MO,Coal,ST-RC,3
64,1389,-94.475,39.125,1,2,MO,Coal,ST-OT,5
65,1389,-94.475,39.125,4,3,MO,Gas,CC-OT,5
66,1390,-93.925,38.325,2,2,MO,Coal,ST-RC,3
67,1392,-94.175,39.175,1,2,MO,Coal,ST-OT,1
68,1393,-94.925,39.725,1,2,MO,Coal,ST-OT,5
69,1393,-94.925,39.725,2,5,MO,Oil,ST-RC,5
