,nrel_id,cooling,longitude,fuel,latitude,dischargefile
8,1313,5,-90.125,3,29.925,498_957.tsv
10,1314,5,-92.075,3,32.775,555_918.tsv
11,1317,5,-93.775,3,32.525,550_884.tsv
30,1342,5,-71.125,3,42.375,747_1337.tsv
32,1349,5,-70.925,3,42.225,744_1341.tsv
33,1350,5,-71.075,3,41.875,737_1338.tsv
62,1387,5,-89.325,3,31.525,530_973.tsv
83,1411,5,-115.075,3,36.075,621_458.tsv
87,1415,5,-119.525,3,39.575,691_369.tsv
93,1427,5,-75.175,3,40.575,711_1256.tsv
94,1428,5,-74.075,3,40.825,716_1278.tsv
95,1432,5,-74.175,3,40.625,712_1276.tsv
109,1475,5,-78.025,3,35.375,607_1199.tsv
111,1478,5,-77.975,3,34.275,585_1200.tsv
134,1514,5,-97.175,3,35.525,610_816.tsv
141,1521,5,-98.225,3,35.075,601_795.tsv
143,1523,5,-80.025,3,40.475,709_1159.tsv
157,1559,5,-71.375,3,41.825,736_1332.tsv
174,1585,5,-97.375,3,27.775,455_812.tsv
175,1587,5,-97.025,3,28.775,475_819.tsv
178,1593,5,-106.425,3,31.975,539_631.tsv
182,1596,5,-94.925,3,29.675,493_861.tsv
184,1602,5,-95.525,3,29.925,498_849.tsv
214,1657,5,-122.975,3,46.725,834_300.tsv
221,1675,5,-118.425,3,34.225,584_391.tsv
248,1713,5,-82.325,3,27.625,452_1113.tsv
249,1714,5,-80.575,3,27.075,441_1148.tsv
261,1722,5,-88.625,3,30.525,510_987.tsv
264,1725,5,-72.475,3,42.175,743_1310.tsv
275,1737,5,-104.875,3,40.225,704_662.tsv
299,1763,5,-81.625,3,29.625,492_1127.tsv
320,1786,5,-75.525,3,39.675,693_1249.tsv
323,1789,5,-81.975,2,27.725,454_1120.tsv
324,1792,5,-94.625,3,37.075,641_867.tsv
325,1793,5,-81.875,3,27.775,455_1122.tsv
326,1794,5,-73.075,3,40.825,716_1298.tsv
327,1796,5,-119.675,3,45.875,817_366.tsv
329,1799,5,-98.375,3,29.275,485_792.tsv
330,1803,5,-121.425,3,38.525,670_331.tsv
331,1804,5,-121.475,3,38.525,670_330.tsv
339,1823,5,-98.325,3,34.525,590_793.tsv
341,1826,5,-111.775,3,33.325,566_524.tsv
343,1828,5,-123.175,3,46.175,823_296.tsv
350,1838,5,-77.425,3,37.525,650_1211.tsv
352,1871,5,-104.975,3,39.675,693_660.tsv
353,1874,5,-121.525,3,36.975,639_329.tsv
355,1877,5,-75.525,3,39.725,694_1249.tsv
357,1880,5,-118.425,3,33.925,578_391.tsv
358,1884,5,-121.125,3,36.225,624_337.tsv
359,1886,5,-71.475,3,42.075,741_1330.tsv
360,1887,5,-74.375,3,40.475,709_1272.tsv
361,1891,5,-121.975,3,37.975,659_320.tsv
362,1892,5,-121.725,3,39.025,680_325.tsv
368,1906,5,-96.575,3,28.675,473_828.tsv
370,1909,5,-75.475,3,43.875,777_1250.tsv
371,1910,5,-76.225,3,43.075,761_1235.tsv
372,1911,5,-77.225,3,37.325,646_1215.tsv
376,1924,5,-73.775,3,42.475,749_1284.tsv
377,1925,5,-72.525,3,42.175,743_1309.tsv
378,1926,5,-95.075,3,29.625,492_858.tsv
380,1928,5,-84.175,3,43.575,771_1076.tsv
381,1929,5,-75.125,3,39.925,698_1257.tsv
382,1930,5,-107.725,3,39.525,690_605.tsv
383,1931,5,-93.725,3,30.075,501_885.tsv
387,1940,5,-73.225,3,42.425,748_1295.tsv
388,1941,5,-74.225,3,40.625,712_1275.tsv
389,1945,5,-95.025,3,29.675,493_859.tsv
390,1946,5,-75.425,3,39.775,695_1251.tsv
391,1947,5,-95.575,3,33.725,574_848.tsv
392,1948,5,-97.725,3,30.275,505_805.tsv
393,1951,5,-98.575,3,33.875,577_788.tsv
394,1956,5,-90.375,3,29.925,498_952.tsv
395,1957,5,-94.825,3,29.425,488_863.tsv
398,1961,5,-118.225,3,33.825,576_395.tsv
399,1968,5,-74.125,3,40.725,714_1277.tsv
404,1973,5,-73.775,3,43.225,764_1284.tsv
405,1978,5,-93.275,3,30.225,504_894.tsv
407,1980,5,-74.125,3,40.625,712_1277.tsv
408,1983,5,-77.675,3,36.475,629_1206.tsv
409,1984,5,-97.625,3,35.425,608_807.tsv
410,1985,5,-75.175,3,39.875,697_1256.tsv
411,1987,5,-94.075,3,30.075,501_878.tsv
412,1989,5,-104.675,3,40.375,707_666.tsv
413,1990,5,-104.825,3,40.075,701_663.tsv
414,1996,5,-75.625,3,43.075,761_1247.tsv
416,2000,5,-74.325,3,40.475,709_1273.tsv
418,2004,5,-95.075,3,29.775,495_858.tsv
419,2007,5,-74.125,3,40.875,717_1277.tsv
420,2009,5,-81.975,3,27.625,452_1120.tsv
421,2011,5,-92.325,3,38.925,678_913.tsv
422,2012,5,-93.975,3,29.825,496_880.tsv
425,2015,5,-76.075,3,43.075,761_1238.tsv
426,2019,5,-91.175,3,30.275,505_936.tsv
428,2021,5,-77.425,3,37.775,655_1211.tsv
429,2024,5,-94.725,3,29.375,487_865.tsv
430,2026,5,-95.375,3,28.975,479_852.tsv
431,2030,5,-94.775,3,29.375,487_864.tsv
432,2035,5,-101.425,3,32.275,545_731.tsv
434,2039,5,-73.775,3,42.625,752_1284.tsv
437,2044,5,-73.775,3,40.625,712_1284.tsv
439,2048,5,-122.575,3,48.475,869_308.tsv
440,2049,5,-115.025,3,36.025,620_459.tsv
442,2053,5,-114.875,3,36.225,624_462.tsv
443,2054,5,-114.925,3,36.325,626_461.tsv
444,2055,5,-81.825,3,27.875,457_1123.tsv
445,2056,5,-81.675,3,28.925,478_1126.tsv
446,2057,5,-82.175,3,28.375,467_1116.tsv
447,2059,5,-81.875,3,27.825,456_1122.tsv
448,2062,5,-122.275,3,48.975,879_314.tsv
449,2064,5,-122.675,3,48.825,876_306.tsv
450,2066,5,-76.425,3,43.475,769_1231.tsv
451,2070,5,-73.475,3,44.725,794_1290.tsv
452,2071,5,-71.325,3,42.625,752_1333.tsv
453,2072,5,-74.875,3,44.975,799_1262.tsv
454,2073,5,-78.175,3,42.975,759_1196.tsv
456,2076,5,-74.125,3,40.075,701_1277.tsv
457,2078,5,-81.825,3,28.075,461_1123.tsv
458,2080,5,-95.375,3,28.925,478_852.tsv
460,2082,5,-119.375,3,45.925,818_372.tsv
461,2083,5,-75.225,3,40.025,700_1255.tsv
462,2084,5,-71.525,3,42.175,743_1329.tsv
463,2085,5,-97.425,3,32.425,548_811.tsv
464,2086,5,-76.875,3,38.675,673_1222.tsv
465,2087,5,-78.225,3,38.125,662_1195.tsv
466,2088,5,-122.075,3,37.975,659_318.tsv
467,2089,5,-73.925,3,40.675,713_1281.tsv
468,2090,5,-86.475,3,43.975,779_1030.tsv
469,2092,5,-92.925,3,44.825,796_901.tsv
470,2093,5,-88.725,3,42.875,757_985.tsv
471,2095,5,-71.125,3,41.825,736_1337.tsv
472,2099,5,-83.625,3,32.475,549_1087.tsv
473,2100,5,-72.675,3,42.025,740_1306.tsv
474,2101,5,-73.125,3,41.175,723_1297.tsv
475,2102,5,-81.575,3,35.075,601_1128.tsv
476,2103,5,-95.125,3,29.725,494_857.tsv
478,2107,5,-95.925,3,30.575,511_841.tsv
479,2108,5,-89.925,3,34.325,586_961.tsv
480,2110,5,-102.775,3,32.975,559_704.tsv
481,2111,5,-68.725,3,44.825,796_1385.tsv
482,2112,5,-91.875,3,34.225,584_922.tsv
485,2115,5,-71.975,3,42.025,740_1320.tsv
486,2117,5,-122.175,3,38.025,660_316.tsv
487,2118,5,-97.275,3,27.875,457_814.tsv
488,2119,5,-85.975,3,42.825,756_1040.tsv
489,2120,5,-83.125,3,42.275,745_1097.tsv
491,2122,5,-95.575,3,33.625,572_848.tsv
492,2123,5,-98.375,3,26.175,423_792.tsv
493,2127,5,-121.825,3,42.175,743_323.tsv
494,2128,5,-93.725,3,30.025,500_885.tsv
495,2133,5,-93.775,3,29.975,499_884.tsv
496,2135,5,-98.225,3,26.325,426_795.tsv
497,2136,5,-114.125,3,35.075,601_477.tsv
498,2138,5,-111.825,3,32.925,558_523.tsv
499,2139,5,-88.225,3,41.375,727_995.tsv
500,2140,5,-97.875,3,29.525,490_802.tsv
502,2143,5,-95.925,3,36.025,620_841.tsv
504,2147,5,-119.575,3,35.275,605_368.tsv
505,2148,5,-97.925,3,29.525,490_801.tsv
506,2149,5,-97.275,3,30.175,503_814.tsv
507,2152,5,-97.325,3,31.825,536_813.tsv
508,2153,5,-92.425,3,30.425,508_911.tsv
509,2154,5,-114.575,3,34.825,596_468.tsv
510,2155,5,-94.275,3,38.775,675_874.tsv
511,2156,5,-116.925,3,47.775,855_421.tsv
512,2158,5,-119.575,3,35.225,604_368.tsv
513,2159,5,-95.075,3,29.825,496_858.tsv
514,2160,5,-90.275,3,41.725,734_954.tsv
515,2166,5,-97.425,3,27.825,456_811.tsv
516,2167,5,-103.625,3,40.225,704_687.tsv
518,2169,5,-88.325,3,41.425,728_993.tsv
519,2170,5,-121.875,3,38.075,661_322.tsv
520,2171,5,-90.225,3,32.375,547_955.tsv
521,2173,5,-89.875,3,33.025,560_962.tsv
522,2174,5,-92.175,3,34.575,591_916.tsv
