,nrel_id,cooling,longitude,fuel,latitude,dischargefile
105,1450,1,-73.975,4,41.325,726_1280.tsv
159,1561,2,-80.175,4,34.425,588_1156.tsv
614,2345,2,-80.325,4,25.425,408_1153.tsv
728,72929,2,-93.225,4,35.275,605_895.tsv
739,73098,2,-80.475,4,40.625,712_1150.tsv
747,73309,2,-88.175,4,41.275,725_996.tsv
751,73358,1,-87.125,4,34.725,594_1017.tsv
754,73422,2,-89.325,4,42.075,741_973.tsv
758,73480,2,-91.775,4,38.675,673_924.tsv
759,73485,1,-76.325,4,38.425,668_1233.tsv
776,73718,2,-88.825,4,40.175,703_983.tsv
783,73772,2,-97.775,4,32.275,545_804.tsv
785,73813,1,-95.675,4,40.375,707_846.tsv
794,73944,2,-83.075,4,41.575,731_1098.tsv
801,74075,2,-88.275,4,41.375,727_994.tsv
803,74091,2,-91.775,4,42.125,742_924.tsv
810,74182,2,-82.325,4,31.925,538_1113.tsv
820,74349,2,-83.175,4,41.975,739_1096.tsv
824,74417,1,-96.075,4,41.525,730_838.tsv
838,74674,2,-91.075,4,32.025,540_938.tsv
847,74819,2,-78.975,4,35.575,611_1180.tsv
858,74984,2,-75.525,4,39.475,689_1249.tsv
871,75075,1,-73.975,4,41.275,725_1280.tsv
879,75148,2,-76.375,4,43.525,770_1232.tsv
887,75205,2,-85.125,4,31.225,524_1057.tsv
894,75378,2,-88.675,4,41.325,726_986.tsv
898,75494,2,-75.525,4,40.175,703_1249.tsv
925,75962,2,-93.875,4,45.325,806_882.tsv
938,76186,2,-76.425,4,43.525,770_1231.tsv
957,76440,2,-86.325,4,42.325,746_1033.tsv
958,76444,2,-112.825,4,33.375,567_503.tsv
962,76505,1,-76.225,4,39.725,694_1235.tsv
963,76541,2,-81.125,4,41.825,736_1137.tsv
978,76730,1,-92.625,4,44.625,792_907.tsv
981,76780,1,-90.325,4,41.725,734_953.tsv
998,76915,2,-91.425,4,30.725,514_931.tsv
1008,77052,2,-95.725,4,38.175,663_845.tsv
1020,77243,2,-84.775,4,35.625,612_1064.tsv
1021,77255,1,-90.475,4,30.025,500_950.tsv
1027,77331,2,-119.275,4,46.475,829_374.tsv
1028,77351,2,-81.775,4,33.175,563_1124.tsv
1040,77627,2,-76.725,4,40.175,703_1225.tsv
1047,77747,2,-76.125,4,41.075,721_1237.tsv
1048,77749,1,-76.675,4,37.175,643_1226.tsv
1050,77769,2,-81.325,4,34.275,585_1133.tsv
1056,77938,2,-96.025,4,28.825,476_839.tsv
1063,78118,2,-85.075,4,35.275,605_1058.tsv
1070,78246,2,-75.525,4,39.425,688_1249.tsv
